seed_id	locus_tag	annotation	logFC	AveExpr	t	P.Value	adj.P.Val	B
fig|630129.38.peg.1205	BcK1E1_01187	Mobile element protein	5.90073979305347	5.643173898799186	77.96873507852133	2.0524137752726224e-17	2.9741698783261555e-15	30.240966519319112
fig|630129.38.peg.1206	BcK1E1_01188	Extracellular endo-beta-1,4-xylanase (GH10)	5.849428276511221	8.672359382218373	69.41424435742861	8.0972839706863e-17	9.178509536183824e-15	29.183975636308276
fig|630129.38.peg.546	BcK1E1_00535	Xylulose kinase (EC 2.7.1.17)	4.884938081822445	6.5909250216427155	73.69606129793343	3.9936011808645956e-17	4.890494430176618e-15	29.84782675594744
fig|630129.38.peg.537	BcK1E1_00527	Monosubstituted AXOS alpha-1,2/3-L-arabinofuranosidase (GH43_12)	4.506342220272293	7.390905840318285	84.11872501797679	8.369960618307639e-18	1.612891411147882e-15	31.340485298135746
fig|630129.38.peg.368	BcK1E1_00359	XOS/AXOS ABC transporter-2 permease component 2 (TC 3.A.1.5)	4.311637428866317	5.947693836245232	50.42694797066289	3.5116877078125113e-15	3.075919187706686e-13	25.453281012934074
fig|630129.38.peg.367	BcK1E1_00358	XOS/AXOS ABC transporter-2 permease component 1 (TC 3.A.1.5)	4.260534080968539	6.149070381959568	54.8623693228826	1.3000610127872358e-15	1.1929607484004777e-13	26.44516516813305
fig|630129.38.peg.2109	BcK1E1_02059	Raffinose family oligosaccharide ABC transporter permease component 2 (TC 3.A.1.1.53) / Panose/isomaltooligosaccharide ABC transporter permease component 2 (TC 3.A.1.1.53)	4.248057592977949	6.878523066516198	19.70017939853102	2.0679156803262402e-10	6.754022908455364e-9	14.07027788454183
fig|630129.38.peg.366	BcK1E1_00357	XOS/AXOS ABC transporter-2 substrate-binding component (TC 3.A.1.5)	4.109789677657466	8.042035673006668	65.4945807119041	1.6082322689907727e-16	1.7217019901917883e-14	28.53063661301497
fig|630129.38.peg.369	BcK1E1_00360	XOS/AXOS ABC transporter-2 ATP-binding component 1 (TC 3.A.1.5)	4.049567792123701	5.896334501567357	40.313791622320544	4.8939934558320424e-14	3.184266437770507e-12	22.773109275628023
fig|630129.38.peg.370	BcK1E1_00361	XOS/AXOS ABC transporter-2 ATP-binding component 2 (TC 3.A.1.5)	3.8806161703456716	5.959763634215751	43.67225880236362	1.9096644217350882e-14	1.471969336273406e-12	23.734322242858575
fig|630129.38.peg.2110	BcK1E1_02060	Raffinose family oligosaccharide ABC transporter permease component 1 (TC 3.A.1.1.53) @ Panose/isomaltooligosaccharide ABC transporter permease component 1 (TC 3.A.1.1.53)	3.7951033722492675	7.087356992959152	17.9807450967951	5.899310239730806e-10	1.7762454424939472e-8	12.896414744074653
fig|630129.38.peg.1208	BcK1E1_01189	Reducing end xylose-releasing exo-oligoxylanase-2 (GH8)	3.787860242674755	6.345101130863063	42.043897485585994	2.986000601200975e-14	2.2130858301977992e-12	23.263479795892756
fig|630129.38.peg.1974	BcK1E1_01927	Putative xyloglucan acetylesterase	3.6311574205832953	6.538976082401838	49.18519929445371	4.710783794318119e-15	3.946817552891746e-13	25.130807565492002
fig|630129.38.peg.2000	BcK1E1_01951	hypothetical protein	3.4925258891316773	5.325428991717307	32.96594587796509	5.191504871069175e-13	2.942361731338324e-11	20.3182336612495
fig|630129.38.peg.1209	BcK1E1_01190	Putative XOS/AXOS acetyl or feruloyl esterase-2	3.4682934100454483	3.6854997647269383	41.60216918998505	3.3809136234254386e-14	2.3743540604038615e-12	23.18038462753757
fig|630129.38.peg.541	BcK1E1_00531	XOS/AXOS ABC transporter-1 permease component 2 (TC 3.A.1.1)	3.339823526464161	5.808552812542984	30.009974907200533	1.5588991727902067e-12	7.326826112113972e-11	19.191740238651448
fig|630129.38.peg.540	BcK1E1_00530	XOS/AXOS ABC transporter-1 permease component 1 (TC 3.A.1.1)	3.316640288036487	5.539974091777476	45.08110445971454	1.3142666941829035e-14	1.0552466332043562e-12	24.131378468551027
fig|630129.38.peg.1210	BcK1E1_01191	Putative XOS/AXOS acetyl or feruloyl esterase-2	3.273667338700398	7.000902455339083	40.2697066095207	4.9573426638876604e-14	3.184266437770507e-12	22.70251368094086
fig|630129.38.peg.2111	BcK1E1_02061	Raffinose family oligosaccharide ABC transporter substrate-binding component (TC 3.A.1.1.53) @ Panose/isomaltooligosaccharide ABC transporter substrate-binding component (TC 3.A.1.1.53)	3.2558783263866395	8.345664387553642	17.19169000509186	9.852395849740374e-10	2.920856431146108e-8	12.19864983799334
fig|630129.38.peg.371	BcK1E1_00362	Beta-1,4-xylosidase-1 (GH43_11)	3.253666279363098	6.886280668980404	31.34874697554231	9.356110587654507e-13	4.820831044561568e-11	19.623901925464533
fig|630129.38.peg.219	BcK1E1_00209	hypothetical protein	3.2235336846885003	6.11367848181935	22.477054896820896	4.5104554357841386e-11	1.849286728671497e-9	15.614414774797584
fig|630129.38.peg.542	BcK1E1_00532	Beta-1,4-xylosidase-3 (GH43_11)	3.1984987189491214	5.907633341077781	34.929650714941765	2.6346776783654543e-13	1.5384920867303728e-11	21.041607893046496
fig|630129.38.peg.220	BcK1E1_00210	Cell wall surface anchor family protein	3.1901488365874258	5.926163505377191	16.536158917752136	1.5343863239212595e-9	4.348180067935687e-8	11.922484919141619
fig|630129.38.peg.221	BcK1E1_00211	Sortase A, LPXTG specific	3.1170042014774886	2.8691772972798018	15.816325355704064	2.5437993358922457e-9	6.714933315430626e-8	11.779907383687817
fig|630129.38.peg.539	BcK1E1_00529	XOS/AXOS ABC transporter-1 substrate-binding component (TC 3.A.1.1)	2.981287141510103	6.5451920826668335	35.08963499687706	2.4971805737559416e-13	1.503770926758656e-11	21.05650381652525
fig|630129.38.peg.373	BcK1E1_00364	Beta-1,4-xylosidase-1 (GH120)	2.8363096524966345	6.8180559852308145	27.19190893422906	4.9304826646789195e-12	2.262152403532447e-10	17.853114274663863
fig|630129.38.peg.652	BcK1E1_00643	Deoxyribose-phosphate aldolase (EC 4.1.2.4)	2.757346216865253	6.388496567830077	8.570095946181775	2.0350838682298735e-6	2.108390652730627e-5	4.1024763342249475
fig|630129.38.peg.374	BcK1E1_00365	Reducing end xylose-releasing exo-oligoxylanase-1 (GH8)	2.669600692796519	6.064052933135201	30.188765712199377	1.454302320069887e-12	7.00610142693668e-11	19.200965689987797
fig|630129.38.peg.1211	BcK1E1_01192	Putative XOS/AXOS acetyl or feruloyl esterase-2	2.6654022918742717	5.210074893571024	23.62591090770314	2.5305076790438812e-11	1.0836196216705688e-9	16.238390000886376
fig|630129.38.peg.659	BcK1E1_00649	Predicted nucleoside transporter, MFS family	2.615932664179564	5.851923578455939	6.303523450870666	4.1821934368779294e-5	2.487372454587583e-4	1.0069994815473535
fig|630129.38.peg.376	BcK1E1_00367	Putative XOS/AXOS acetyl or feruloyl esterase-2	2.5560078089506213	5.6835273992965165	41.53064528933431	3.45002146815299e-14	2.3743540604038615e-12	23.131683415530823
fig|630129.38.peg.1203	BcK1E1_01185	NADH-dependent butanol dehydrogenase A (EC 1.1.1.-)	2.5405690436534565	6.070298272646139	20.202456730252518	1.5474155116210054e-10	5.607561411010125e-9	14.290238719280962
fig|630129.38.peg.375	BcK1E1_00366	Double substituted AXOS alpha-1,3-L-arabinofuranosidase (GH43_10)	2.498000189167638	6.584989943389156	38.24635238630695	9.084885541057282e-14	5.647282076650768e-12	22.08069352226449
fig|630129.38.peg.1217	BcK1E1_01199	Mobile element protein	2.4500113844021065	5.946047034354368	21.04767782646106	9.643955001075365e-11	3.643902213151417e-9	14.7878467770801
fig|630129.38.peg.653	BcK1E1_00644	Phosphopentomutase (EC 5.4.2.7)	2.410364983588174	6.8280636057622575	7.428015445219297	8.63670441964874e-6	7.02233308719963e-5	2.52190390061941
fig|630129.38.peg.654	BcK1E1_00645	Purine nucleoside phosphorylase (EC 2.4.2.1)	2.391507266969759	5.5728418661505765	6.178365505552686	5.036556065937415e-5	2.904374042395682e-4	0.8143364695165527
fig|630129.38.peg.1216	BcK1E1_01198	hypothetical protein	2.3723538288500476	2.88115445693353	15.502009975613992	3.193288334470957e-9	8.027484256478987e-8	11.447147017895649
fig|630129.38.peg.1218	BcK1E1_01200	Mobile element protein	2.2795219705714693	6.7957530033849585	24.5741661244844	1.602178407951768e-11	7.179994865402457e-10	16.62520670199722
fig|630129.38.peg.543	BcK1E1_00533	Putative XOS/AXOS acetyl or feruloyl esterase-1 (CE20)	2.2531961023480527	5.4836745772157265	31.357071852696038	9.327081475743731e-13	4.820831044561568e-11	19.735801615960867
fig|630129.38.peg.657	BcK1E1_00648	Pyrimidine nucleoside transporter	2.2372500137213107	7.5111957432455005	7.260351918911418	1.0815783600025339e-5	8.506944896836256e-5	2.2240897310971093
fig|630129.38.peg.660	BcK1E1_00650	Inosine-uridine preferring nucleoside hydrolase (EC 3.2.2.1)	2.196434678757563	6.53029946717466	6.706904468530418	2.3305733489057718e-5	1.5702849102592383e-4	1.5246178556969916
-	BcK1E1_01201	NA	2.141114331573213	4.891747474562275	22.249348966074553	5.0749193831954316e-11	1.995789724779101e-9	15.581084493879096
fig|630129.38.peg.1204	BcK1E1_01186	Putative XOS/AXOS acetyl or feruloyl esterase-2 (CE20)	2.118026751476103	7.474597313690936	20.122533841010938	1.619737741905127e-10	5.607561411010125e-9	14.077954577616154
fig|630129.38.peg.1219	BcK1E1_01202	hypothetical protein	2.113554391226364	7.644084722181691	21.283565336460903	8.478990344558691e-11	3.267802878792919e-9	14.772675373210042
fig|630129.38.peg.2101	BcK1E1_02051	Alpha-1,6-glucosidase (GH13_31)	2.1133949008935806	8.532963248460755	19.851888444771472	1.8931307528364668e-10	6.400110457396266e-9	13.868646727996957
fig|630129.38.peg.90	BcK1E1_00087	Uncharacterized MFS-type transporter	-2.29283110361676	5.479269239808903	-31.30604277906964	9.506568743816273e-13	4.820831044561568e-11	19.68580256992219
fig|630129.38.peg.961	BcK1E1_00944	Ribonucleotide reductase of class Ib (aerobic), beta subunit (EC 1.17.4.1)	-2.360038743739553	5.466587136588739	-3.801440607404628	0.002584577270224068	0.007994350561351171	-3.3746970339538427
fig|630129.38.peg.238	BcK1E1_00227	6-phosphogluconate dehydrogenase, decarboxylating (EC 1.1.1.44)	-2.5264610686305202	4.04697721209977	-18.015203161307472	5.771428480274519e-10	1.765324235156984e-8	13.12108656801572
fig|630129.38.peg.318	BcK1E1_00308	Biotin carboxylase of acetyl-CoA carboxylase (EC 6.3.4.14) / Biotin carboxyl carrier protein of acetyl-CoA carboxylase	-2.8124751709925597	8.604553644657813	-13.844602912122246	1.1406148611009775e-8	2.389092214501721e-7	9.489009622339594
fig|630129.38.peg.319	BcK1E1_00309	Acetyl-coenzyme A carboxyl transferase alpha chain (EC 6.4.1.2) / Acetyl-coenzyme A carboxyl transferase beta chain (EC 6.4.1.2); Propionyl-CoA carboxylase beta chain (EC 6.4.1.3)	-2.9743390894977235	8.516989303542209	-13.169202736472917	1.993600334846455e-8	4.0868806864352324e-7	8.900847127894162
fig|630129.38.peg.320	BcK1E1_00310	[Acyl-carrier-protein] acetyl transferase of FASI (EC 2.3.1.38) / Enoyl-[acyl-carrier-protein] reductase of FASI (EC 1.3.1.9) / 3-hydroxypalmitoyl-[acyl-carrier-protein] dehydratase of FASI (EC 4.2.1.61) / [Acyl-carrier-protein] malonyl transferase of FASI (EC 2.3.1.39) / [Acyl-carrier-protein] palmitoyl transferase of FASI (EC 2.3.1.-) / Acyl carrier protein of FASI / 3-oxoacyl-[acyl-carrier-protein] reductase of FASI (EC 1.1.1.100) / 3-oxoacyl-[acyl-carrier-protein] synthase of FASI (EC 2.3.1.41)	-3.088358821449651	11.26682867446941	-14.170802241183035	8.785590398882504e-9	1.8810925220718428e-7	9.779439429957318
fig|630129.38.peg.2065	BcK1E1_02013	Lactose MFS permease (TC 2.A.2) @ Putative galactose MFS permease (TC 2.A.2)	-3.2000221593791487	12.025168422423837	-31.86200697691278	7.736372459493403e-13	4.259425636983939e-11	19.802786909061368
fig|630129.38.peg.963	BcK1E1_00947	Uncharacterized MFS-type transporter	-3.3081733738458503	6.621401741535837	-12.729876851535785	2.9063024106608968e-8	5.54499479736985e-7	8.561048125387025
fig|630129.38.peg.2066	BcK1E1_02014	Beta-1,4-galactosidase (GH2)	-3.6122855195226062	11.713128216387632	-58.64097823052231	5.92665331149605e-16	5.710330465626443e-14	27.230599977161415
fig|630129.38.peg.317	BcK1E1_00307	Substrate-specific component BioY of biotin ECF transporter	-3.617669666026633	6.916906227429679	-22.403630138410833	4.684663716103655e-11	1.8806972876941133e-9	15.504366832340967
fig|630129.38.peg.239	BcK1E1_00228	Putative D-gluconate MFS permease (TC 2.A.8)	-4.167869033127524	5.061372965851271	-24.501284136344598	1.6584526580631477e-11	7.263268800199286e-10	16.79419768959847
fig|630129.38.peg.241	BcK1E1_00229	Gluconokinase (EC 2.7.1.12)	-4.365338815736642	4.957168805843437	-31.03274202604733	1.0533795736129097e-12	5.204775482954043e-11	19.68742569427406
