phenotype	origin	odds_ratio	conf_int_low	conf_int_high	log2_odds_ratio	p_value	p_adj
IMO	plant	1.4239388909852433	0.36161094409108985	8.21007737391365	0.5098872336889553	0.7633471593356196	0.8838756581780859
Mel	plant	1.4239388909852433	0.36161094409108985	8.21007737391365	0.5098872336889553	0.7633471593356196	0.8838756581780859
RFO	plant	1.4239388909852433	0.36161094409108985	8.21007737391365	0.5098872336889553	0.7633471593356196	0.8838756581780859
bMnOS	plant	1.2485256041502555	0.4880548326098952	3.0058333745557326	0.3202254076512545	0.6658320196263205	0.8616649665752384
Xyl	universal	1.0896907528008153	0.5182619060985763	2.247448185061558	0.12391876555096844	0.8627080825930008	0.9817023008816906
Ara	plant	0.9396882365682208	0.43708166588051134	1.9639915024979986	-0.08974590635360201	0.9999999999999997	1
PG	plant	0.8883314972614224	0.24016705933210564	2.7345039678166225	-0.17082994960677422	0.9999999999999998	1
Rib	universal	0.8519153483788084	0.37522459360150534	1.8487569886763593	-0.23121801248967522	0.7179089933374694	0.8838756581780859
GmOS	plant	0.7775624575736834	0.3129417707086325	1.7978984898998136	-0.36296953075306376	0.6966920829684907	0.8838756581780859
XL	plant	0.714727655523469	0.014201398947149089	7.458463836748423	-0.48453448219171275	1	1
Gal	universal	0.6921062244738	0.03528299166800491	41.585692817691246	-0.5309346151747827	1.0000000000000002	1
Mlz	host (animal)	0.6611149054995822	0.277735936152144	1.4763370862541394	-0.5970270528255142	0.35860651963531553	0.5259562287984627
lcFOS	plant	0.6559834167911174	0.30731560490919335	1.357964338757254	-0.6082687507995206	0.2407502957362848	0.3783218932998761
XglOS	plant	0.645895606358059	0.2929285441886278	1.3664777754256978	-0.6306270884201535	0.23256212520884872	0.37436829911668335
Stl	plant	0.5802248063372103	0.268211010780857	1.2104323662220513	-0.7853161185264887	0.13084015565073698	0.2172495436897821
Muc	host (animal)	0.4590188075542324	0.048162140980252524	2.180063801066547	-1.123374827938175	0.5253852532842255	0.7076617697297732
GNB	host (animal)	0.20831756885736472	0.09388020049878691	0.44154090346890135	-2.263143577954595	9.302537946556782e-6	3.410930580404153e-5
L-Xul	universal	0.2062653596528516	0.004733850940082019	1.4445582833304236	-2.2774265405232033	0.12056033196755521	0.2093942607857538
DFA	plant	0.152907226937161	0.003567218664835539	1.0297688981740436	-2.709271499699384	0.04611796448462604	0.09223592896925208
Nglyc	universal	0.13125052957567374	0.04289424314087467	0.33628061899456013	-2.9296048510445494	6.118148565386952e-7	3.106136963965683e-6
LNFPI	host (animal)	0.09278920685085931	0.03267850981249995	0.22835941799956072	-3.429899187528778	6.226135304741578e-10	4.109249301129441e-9
SHMO	host (animal)	0.07818772437317617	0.008823627928020616	0.3207486582235399	-3.6769140704277894	4.605742430173026e-6	1.8998687524463732e-5
lcFHMO	host (animal)	0.07691235744492306	0.019062617850866874	0.22746301309980058	-3.7006407763441267	3.923493029066333e-9	2.3540958174398e-8
2'FL	host (animal)	0.059365749310778926	0.014675539629811874	0.17597226350315656	-4.074225372403385	4.22011172813762e-11	4.642122900951382e-10
3FL	host (animal)	0.057642325884314644	0.014284907296338556	0.17093517776159975	-4.116727639930576	3.42804415337724e-11	4.525018282457956e-10
LDFT	host (animal)	0.057642325884314644	0.014284907296338556	0.17093517776159975	-4.116727639930576	3.42804415337724e-11	4.525018282457956e-10
LNB	host (animal)	0.04826215189267446	0.017319541954192018	0.12244318772790384	-4.372963946502923	9.810309573785317e-14	3.2374021593491547e-12
GlcNAc	universal	0.041296247137586874	0.004698765928066614	0.16828468033571042	-4.597845509389054	4.32919540245931e-10	3.1747432951368273e-9
Fuc	universal	0.03903118276488441	0.004444268820428436	0.1590612611315344	-4.679229008238472	1.5484087796279673e-10	1.3802034832557951e-9
LNT	host (animal)	0.037796978860174676	0.014273088629261075	0.09274540659342113	-4.7255852663768305	2.566118315815585e-17	1.693638088438286e-15
LNnT	host (animal)	0.03585402183286353	0.0040872187280492685	0.14612383079327623	-4.801721231157517	2.331935060175491e-11	4.525018282457956e-10
BGL12	bacterial	0	0	1.4276906453155767	-Inf	0.11473120121631158	0.20465565622369095
Chb	universal	0	0	1.4276906453155767	-Inf	0.11473120121631158	0.20465565622369095
Fru	plant	0	0	15.392705538976116	-Inf	0.9999999999999999	1
GA	plant	0	0	112.02979515828662	-Inf	0.9999999999999999	1
GOS	universal	0	0	112.02979515828662	-Inf	0.9999999999999999	1
GlcA	universal	0	0	0.6963709381044481	-Inf	0.01339911961618456	0.031583639095292174
GlcNAc6S	host (animal)	0	0	0.9004493790923721	-Inf	0.023026425042828164	0.049024001704085766
Glt	host (animal)	0	0	112.02979515828662	-Inf	0.9999999999999999	1
GluA	universal	0	0	0.7542376027736449	-Inf	0.012968743957386468	0.031583639095292174
Ino	universal	0	0	0.6459922550949991	-Inf	0.007362259737153166	0.018688813178927267
Ncore	universal	0	0	0.22757441367811243	-Inf	4.582528932142176e-6	1.8998687524463732e-5
Neu5Ac	host (animal)	0	0	0.10901088726407993	-Inf	1.6729739190979334e-10	1.3802034832557951e-9
XGL	plant	0	0	4.374559721315595	-Inf	0.574006317040373	0.7576883384932923
