phenotype	origin	odds_ratio	conf_int_low	conf_int_high	log2_odds_ratio	p_value	p_adj
GOS	universal	0.3491919961542418	0.1188928579800768	0.9279855931501755	-1.5179076036202335	0.02440467255970993	0.02963424525107634
SHMO	host (animal)	0.3088196298991393	0.24244353490339315	0.39071758051646793	-1.6951636354871547	1.4755963238692606e-26	5.902385295477042e-26
BGL12	bacterial	0.28127506101198796	0.08386977953560931	0.7510061845994579	-1.8299464517595287	0.004956389116293924	0.0063591407529808835
3FL	host (animal)	0.2787722847112035	0.22540675588477133	0.3431334966682022	-1.8428409579897045	3.9960943049488754e-39	3.396680159206544e-38
2'FL	host (animal)	0.2787333097998031	0.22468834044297456	0.3440731593343248	-1.8430426740336032	2.517501175512335e-38	1.9021119992759865e-37
LDFT	host (animal)	0.2664900932060736	0.21449404282264922	0.32942122983155225	-1.907846193227968	8.042254605975389e-41	7.81247590294752e-40
lcFHMO	host (animal)	0.25357061611887	0.1997799724426753	0.3196235029544894	-1.979540519897797	6.919481308082978e-38	4.705247289496425e-37
LNnT	host (animal)	0.1908667506136863	0.15366345240826837	0.23575658553788026	-2.3893622907449394	1.7269371390160325e-66	3.914390848436341e-65
GlcNAc	universal	0.18151083827210204	0.1461797522215317	0.22414213466535915	-2.46187239870727	3.491082921732151e-71	2.3739363867778625e-69
Neu5Ac	host (animal)	0.10376827039114786	0.072366097591968645	0.14534976000892222	-3.2685627219738285	2.1054032008991346e-64	3.579185441528529e-63
Fuc	universal	0.07410696626869537	0.0478317159037714	0.110511912746524	-3.754247023371665	1.9342466578565895e-69	6.576438636712404e-68
GlcNAc6S	host (animal)	0.07103495834597928	0.033342032622099275	0.13453762191165813	-3.8153269986746223	1.8100214529361862e-31	9.46780452305082e-31
GluA	universal	0.060214710040530965	0.007070626808617991	0.23105690317289596	-4.05374021923315	5.679912987128873e-9	9.19604959820865e-9
Ncore	universal	0.030580435186010314	0.0061982353062318965	0.09176104944206101	-5.031247252133182	1.0754387715849269e-26	4.5706147792359395e-26
GlcA	universal	0.014957356665432596	3.7909621713744213e-4	0.08575685067026488	-6.0630009518903565	2.8553809464326317e-20	1.0219258124074682e-19
Ino	universal	0	0	0.08872222464314831	-Inf	1.9322636213413206e-14	5.255757050048392e-14
