sample	strain	2'FL	3FL	LDFT	3'SL	6'SL	LNT	LNnT	LNFP I	LNFP II	LNFP III	LSTb	LSTc	DFLNT	LNH	DSLNT	FLNH	DFLNH	FDSLNH	DSLNH	total	total_sial	total_fuc
ATCC_3	B. longum ssp. infantis ATCC 15697	1995.8197	405.0843561	541.1888245	186.88706	411.0488647	141.9326533	15.29346541	42.12528278	122.3819355	22.81477707	94.83802695	126.7608721	14.36761621	45.66336165	156.976733	135.6824817	44.48768706	167.5841754	184.898957	4855.836831	1838.454555	4091.580964
Bg2D9_1	B. longum ssp. infantis Bg40721_2D9	2095.77586	182.5856842	533.6030516	216.7021694	407.4020151	13.69711679	8.549610847	6.28702993	39.51644906	20.26098931	99.02887716	109.4994168	16.82385361	26.64221447	156.8488038	23.40637399	25.61390046	107.7081289	167.8623376	4257.813883	1697.471019	3627.622126
Bg2D9_2	B. longum ssp. infantis Bg40721_2D9	2109.603755	178.4433622	549.98552	201.5145953	408.9476751	13.79338555	7.140845232	8.282556779	27.21839421	20.01968624	100.2723589	104.0884271	12.46886418	22.7227988	156.6091556	21.98027217	25.68119876	97.88113844	162.9439381	4229.597927	1649.691521	3639.700331
Bg2D9_3	B. longum ssp. infantis Bg40721_2D9	2197.228046	191.9773199	598.2048582	192.2665053	425.0715605	16.09788387	8.125585412	8.607944463	47.47682726	22.30853855	103.9441224	117.2880268	18.00979238	27.51834562	167.3479322	24.2191254	28.50853543	117.0571264	179.8179929	4491.076069	1767.016318	3898.3213
Bg3A11_1	B. longum ssp. longum Bg115.S08_3A11	2256.634665	848.3018049	540.1150067	212.4389063	412.3681264	18.97336464	144.0373115	484.0102189	1204.694795	20.7571637	105.9510723	148.8580896	873.6704419	71.95326935	198.9046794	76.59581945	66.86435515	327.2107463	207.8511887	8220.191025	2347.549423	8179.504821
Bg3A11_2	B. longum ssp. longum Bg115.S08_3A11	2491.749625	920.1216108	546.4494851	260.2549558	435.2210758	20.31768198	164.0801431	517.4696606	1312.598266	24.71976244	118.9569594	167.908556	947.5039274	74.24020931	227.160156	75.75544471	63.13868051	352.635108	207.457163	8927.738471	2556.846401	8809.233664
Bg3A11_3	B. longum ssp. longum Bg115.S08_3A11	2219.636132	832.1523463	503.880233	222.9661748	394.739948	17.63659598	144.767163	470.0732197	1174.336959	21.15996218	105.2290953	151.7557675	851.634595	69.30695422	196.1965335	66.53135104	62.14334165	316.1715132	202.4751278	8022.793013	2304.377335	7935.377823
LFYP29_1	B. pseudocatenulatum LFYP29	2080.332524	702.0264819	514.3361001	199.3269474	376.578084	1727.56394	145.4758304	673.1385911	1259.995494	23.29207859	116.4172243	138.7587253	877.6955094	126.2429539	174.1010374	426.1245761	65.38240514	371.1479324	187.9567122	10185.89315	2297.492345	8450.885707
LFYP29_2	B. pseudocatenulatum LFYP29	2109.58428	713.573259	527.6538593	204.8571457	378.8691006	1645.744849	137.0554897	654.3675909	1094.857956	24.33050485	103.266059	133.7421997	834.3809769	121.1035126	169.9585404	403.5246363	57.5206949	311.2491012	182.9965112	9808.636267	2149.14281	8150.59839
LFYP29_3	B. pseudocatenulatum LFYP29	2011.687577	681.0285819	490.2627962	200.014383	363.0797189	1565.66551	128.7806218	620.6367957	1041.268565	22.47122572	102.0964633	131.2406245	789.3942374	114.5644836	162.596094	379.4998266	53.61780989	304.9252528	177.4940181	9340.324586	2086.461919	7728.067512
med_1_b	medium_batch2	1387.064299	312.0625064	354.040085	80.82398023	139.3237227	1421.734435	166.6917778	908.653137	877.5448212	20.88842962	146.332991	123.5799399	778.7169334	135.5581661	75.13228454	283.3573994	111.3582305	95.79172526	101.4219596	7520.076823	1034.752572	6373.592816
med_2_b	medium_batch2	1348.773968	300.4119605	351.9482881	63.88284437	188.8893399	1336.028262	162.204788	884.200646	858.7790508	23.02679906	143.4438949	123.3212368	770.0598077	132.7919031	73.08987626	277.4454202	118.4495311	86.64869668	109.4960787	7352.892393	1058.006619	6260.201795
med_3_b	medium_batch2	1378.404843	332.2985798	350.1183078	63.64515077	206.6565445	1335.357026	165.4273713	879.7598732	865.8895712	23.96140732	147.4590501	121.672912	776.8702458	134.9269736	69.51124001	281.6903736	124.1743041	76.86167081	111.8488895	7446.534334	1055.877258	6341.192034
med_4_b	medium_batch2	"1,136.10"	241.4	308.8	59.1	107.3	"1,141.50"	150.4	728.1	706	19.6	113.2	92.6	620.1	110.4	50.2	235.7	88.4	84.6	86.9	"6,080.60"	815.9	"5,186.10"
Bg1C3_1	B. catenulatum ssp. kashiwanohense_A Bg42221_1D3	20.09902099	18.75378208	29.865752	50.93032262	144.2581176	423.5792674	269.7550178	98.71289882	279.6483704	18.49685542	131.0147633	107.8513352	158.889856	147.9206956	68.74011969	240.2757181	71.22298497	62.36127597	91.43857728	2433.814731	906.8382961	1320.210617
Bg1C3_2	B. catenulatum ssp. kashiwanohense_A Bg42221_1D3	20.44515099	21.22628876	29.18093913	49.76414554	145.4539047	441.0348587	275.6993428	116.47331	284.2503357	22.00772311	131.4079191	111.4870042	177.5628802	150.2088052	74.1139282	246.8493589	63.36742147	68.73596773	91.51276536	2520.78205	871.8783688	1290.203559
Bg1C3_3	B. catenulatum ssp. kashiwanohense_A Bg42221_1D3	33.76685906	33.60422034	29.13869863	41.72474116	153.8716092	420.7019195	255.8251064	109.9738327	270.7334814	21.43577006	128.5344143	106.5145582	167.1858857	143.3978935	66.59968322	230.9404512	66.48680357	64.12616859	89.89067113	2434.452768	647.7592552	2078.79553
PS131_1	B. longum ssp. suis Bg131.S11_17.F6	1118.491039	70.2008096	321.1585424	52.52349255	129.823934	44.26767613	20.31636006	6.238130731	33.8872331	16.44131955	98.6838766	66.06933008	7.431576834	34.32700022	41.77984241	48.3150038	51.41053436	25.22068773	83.32878083	2269.91517	688.688958	2085.579342
PS131_2	B. longum ssp. suis Bg131.S11_17.F6	1140.340229	68.43750487	322.424372	60.99075634	141.375263	38.04610803	16.64446478	6.450042936	30.54737632	18.95831355	97.20461065	65.79548123	7.919740175	33.52536672	43.26916935	46.14589847	41.52407445	30.9636035	87.42865056	2297.991026	723.6718492	1892.171685
PS131_3	B. longum ssp. suis Bg131.S11_17.F6	1038.383999	67.93639692	286.5242028	78.88414597	137.5631368	28.82507997	14.45391036	7.493018198	32.35330934	16.29816761	78.94213688	64.67141336	7.873079596	28.79641811	57.42928817	36.76501993	36.10237118	31.94246721	92.43375274	2143.671314	1002.857011	5394.593565
Bg2E1_1	B. longum ssp. suis Bg41121_2E1	1136.24	205.70	307.68	73.98	134.42	918.42	132.29	790.83	752.94	20.20	113.22	115.56	681.48	112.35	90.30	231.84	95.51	87.51	105.03	6105.49	914.30	5459.41
Bg2E1_2	B. longum ssp. suis Bg41121_2E1	1137.23	214.08	288.79	72.30	114.82	954.51	143.76	797.80	766.16	20.68	134.06	104.11	709.81	118.87	64.43	254.14	93.18	85.76	94.31	6168.81	955.35	5423.24
Bg2E1_3	B. longum ssp. suis Bg41121_2E1	1131.51	217.11	306.62	65.16	140.54	917.40	135.89	784.65	760.17	20.33	130.21	107.69	692.78	120.17	67.83	243.92	87.87	91.02	97.03	6117.90	890.55	5555.69
LFYP82_1	B. longum (ssp. nov.) LFYP82	1212.70	262.60	301.50	72.90	114.40	1261.40	147.20	791.60	773.40	20.00	132.50	103.70	677.70	121.30	64.50	252.40	103.10	78.40	90.60	6582.00	890.50	5555.70
LFYP82_2	B. longum (ssp. nov.) LFYP82	1161.60	268.20	291.60	74.40	148.40	1172.80	143.90	756.50	748.30	21.90	133.10	105.80	680.30	113.60	66.00	243.80	94.30	85.90	94.40	6404.90	954.30	5418.60
LFYP82_3	B. longum (ssp. nov.) LFYP82	1293.80	294.20	328.30	84.10	143.20	1322.00	155.20	857.60	830.00	25.30	136.90	120.20	739.50	126.50	85.20	261.10	109.90	80.50	108.00	7101.50	1031.90	5997.80
