sample	strain	2'FL	3FL	LDFT	3'SL	6'SL	LNT	LNnT	LNFP I	LNFP II	LNFP III	LSTb	LSTc	DFLNT	LNH	DSLNT	FLNH	DFLNH	FDSLNH	DSLNH	total	total_fuc	total_sial
Bg_4F7_1	B. breve Bg155.S08_4F7	1250.903275	295.3274556	333.7381653	86.96015115	178.6100635	28.19334229	71.8625132	824.7119204	812.983467	27.45364571	123.5837811	120.5088582	717.3907362	116.4731505	99.89700787	244.0868036	104.135099	82.69942387	103.7498059	5623.268665	5848.693992	1082.355329
Bg_4F7_2	B. breve Bg155.S08_4F7	1258.337669	294.1320467	347.7252637	68.30480445	165.3784801	104.9746172	75.86205165	839.6849465	812.7354851	27.89555793	123.4295921	128.333643	742.6510743	115.5736903	98.08531151	249.952743	105.7447382	85.23779748	109.1856026	5753.225115	5960.218398	1070.463943
Bg_4F7_3	B. breve Bg155.S08_4F7	1258.841645	278.2524816	322.0070327	88.84658943	161.2619319	87.79593133	79.22135934	828.952142	815.7398558	24.97247137	130.0142693	120.080712	736.9568633	118.7946319	86.79301315	255.6576921	104.4900404	91.82286187	102.1321305	5692.633655	5881.147023	1061.699514
Bg1C3_1	B. catenulatum ssp. kashiwanohense_A Bg42221_1D3	18.72846881	21.63720865	22.49828632	48.91902325	136.1850473	59.77721477	320.4396454	8.158920795	124.9324005	19.5323089	126.12362	96.53716373	43.41052535	106.7474678	60.92348566	124.839065	27.1136918	22.48136	53.60277973	1442.587684	526.3547396	681.7801051
Bg1C3_2	B. catenulatum ssp. kashiwanohense_A Bg42221_1D3	21.49714702	21.63893535	14.83099312	63.69064797	139.8208759	48.5006001	336.8764248	17.7181312	120.0098541	14.74982899	122.3176122	95.46053184	44.40922508	107.6603874	63.45838236	130.8396262	27.26861663	27.08787057	49.99431765	1467.830009	526.5590632	702.370809
Bg1C3_3	B. catenulatum ssp. kashiwanohense_A Bg42221_1D3	16.82315879	17.39451763	31.93380623	65.4057409	170.4745115	26.39738906	347.1435169	10.33347123	125.1025143	20.95640027	118.387722	107.8807364	44.05282386	101.3636138	85.23090396	120.7404968	26.45736058	32.45475929	63.52077647	1532.05422	548.6932996	824.5615903
PS131_1	B. longum ssp. suis Bg131.S11_17.F6	859.2371645	39.78547888	389.8989021	76.08504695	27.14561979	22.49967864	10.64459372	9.901115424	14.91666063	13.23127924	7.737951427	6.159169341	16.72984062	9.468757387	9.195586031	22.45033125	12.48971259	12.62834064	17.74021925	1577.945448	1810.387281	196.2560793
PS131_2	B. longum ssp. suis Bg131.S11_17.F6	863.0497812	36.06181548	309.1611474	97.42644843	18.55265965	21.91769525	6.093561078	9.042518201	10.75279933	8.541698863	4.652459964	4.928345335	7.973533166	7.664970031	4.840461667	11.56347581	5.910951009	7.382899957	10.15190774	1445.66913	1592.486252	170.3104521
PS131_3	B. longum ssp. suis Bg131.S11_17.F6	877.4995417	54.22456435	320.4465239	60.86976884	13.61618568	19.55212556	8.632702538	7.070941981	10.93367108	10.86918709	4.530789239	4.214756854	9.071735369	5.173000456	3.890527514	11.29234963	6.384881201	7.029052529	8.283724447	1443.58603	1650.725589	121.6381096
Bg2E1_1	B. longum ssp. suis Bg41121_2E1	16.78542996	22.78312181	44.87562468	49.23599249	166.4704944	30.49848452	184.0664324	104.1673515	384.3602536	25.38919385	117.2224275	114.1960756	107.0744158	114.5734818	92.18408124	252.6446726	92.70575666	104.4718384	105.1452692	2128.850398	1399.913456	1050.727368
Bg2E1_2	B. longum ssp. suis Bg41121_2E1	24.74819476	22.81084607	23.94704686	55.98798384	155.1643336	43.01900389	187.083797	113.3019146	382.6743704	24.39434835	124.2055998	108.8725058	114.1339888	115.1074594	76.97078858	253.9939296	95.47013682	90.43669408	101.8231374	2114.14608	1379.462643	982.6916633
Bg2E1_3	B. longum ssp. suis Bg41121_2E1	23.71169222	21.12669803	22.8512064	59.32341819	160.2834211	31.47327283	185.1909434	103.3609341	373.9281154	18.70523786	120.5905644	109.7029066	106.7950201	112.1501763	82.63955278	256.4761603	102.52822	81.68721148	102.6685417	2075.193293	1343.344942	983.8909222
LFYP82_1	B. longum (ssp. nov.) LFYP82	1244.612034	278.9807133	318.2002952	86.72362096	147.4355534	1276.818608	141.6077438	828.326685	802.2998148	24.31832347	124.7901668	120.3385314	731.6633977	118.4059211	89.97635792	244.3795492	95.70373824	94.61732823	106.1541132	6875.352496	5808.66931	1060.783471
LFYP82_2	B. longum (ssp. nov.) LFYP82	1251.110585	288.8997645	348.41818	60.7598268	167.7509735	1245.765073	142.9969912	830.4640839	797.3859337	24.84638549	131.6578379	114.6298367	709.3852559	116.5346362	86.99680462	247.4032812	98.44354864	88.55415015	102.0858636	6854.089012	5841.158153	1030.072112
LFYP82_3	B. longum (ssp. nov.) LFYP82	1245.439196	282.4419387	321.6638033	60.80362939	151.0041588	1277.529263	146.4874732	823.0404979	802.432006	21.11557581	141.4019548	113.4158279	721.5700613	117.2718444	71.20069698	261.9688612	98.81890492	87.13847502	98.50536418	6843.249533	5807.68209	980.3146432
