Organism	seed_id	CE0	CE2	CE4	CE5	CE8	CE9	CE20	GH0	GH1	GH2	GH3	GH4	GH5	GH8	GH10	GH13	GH16	GH18	GH20	GH23	GH25	GH26	GH27	GH28	GH29	GH30	GH31	GH32	GH33	GH35	GH36	GH38	GH39	GH42	GH43	GH49	GH50	GH51	GH53	GH59	GH65	GH73	GH76	GH77	GH78	GH84	GH85	GH89	GH91	GH94	GH95	GH101	GH109	GH110	GH112	GH115	GH120	GH121	GH123	GH125	GH127	GH129	GH130	GH136	GH140	GH146	GH151	GH154	GH163	GH172	PL27
Bifidobacterium adolescentis AM13-11	fig|1680.160	0	0	0	0	0	0	3	1	0	2	6	0	2	1	0	15	0	0	0	3	4	0	0	0	0	0	1	2	0	0	2	1	0	3	9	0	0	1	0	0	0	0	0	2	0	0	0	0	0	1	0	0	1	0	0	0	1	1	0	0	2	0	0	0	0	0	0	0	0	1	0
Bifidobacterium adolescentis AM14-37	fig|1680.157	0	1	0	0	0	0	3	1	2	3	6	0	2	1	0	15	0	0	0	2	3	1	0	0	0	1	1	2	0	0	2	1	0	3	8	0	0	1	0	0	0	0	0	2	0	0	0	0	0	2	0	0	1	0	0	0	1	1	0	0	2	0	0	0	0	0	0	0	0	2	0
Bifidobacterium adolescentis ATCC 15703	fig|367928.6	0	0	0	0	0	1	3	1	2	3	6	0	2	1	0	12	0	0	0	3	1	1	1	0	0	1	1	2	0	1	1	1	0	4	8	0	0	2	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	1	0
Bifidobacterium adolescentis BBMN23	fig|1680.5	0	0	0	0	0	0	3	1	0	2	6	0	2	1	0	16	0	0	0	2	3	0	0	0	0	1	2	2	0	0	2	1	0	3	8	0	0	1	0	0	0	0	0	2	0	0	0	0	0	1	0	0	1	0	0	0	1	1	0	0	2	0	0	0	0	0	0	0	0	1	0
Bifidobacterium adolescentis ca_0067	fig|1680.1827	0	0	0	0	0	1	3	1	1	3	6	0	1	1	0	16	0	0	0	3	2	0	0	0	0	0	1	2	0	1	2	1	0	3	7	0	0	1	0	0	0	0	0	2	0	0	0	0	0	1	0	0	1	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	1	0
Bifidobacterium adolescentis JCM 15918	fig|1437612.3	0	0	0	0	0	0	3	1	1	3	6	0	3	1	0	13	0	0	0	3	2	0	0	0	0	1	1	2	0	0	2	1	0	3	7	0	0	1	0	0	0	0	0	2	0	0	0	0	0	1	1	0	1	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	2	0
Bifidobacterium adolescentis Km 4	fig|1680.1826	0	0	0	0	0	1	3	1	1	3	6	0	2	1	0	16	0	0	0	2	2	0	0	0	0	1	2	1	0	0	2	1	0	4	8	0	0	1	0	0	0	0	0	2	0	0	0	0	0	1	0	0	1	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	2	0
Bifidobacterium adolescentis L2-32	fig|411481.5	0	0	0	0	0	1	3	1	1	3	6	0	2	1	0	18	0	0	0	2	3	1	0	0	0	1	1	1	0	1	4	1	2	4	6	0	0	1	0	0	0	0	0	2	0	0	0	0	0	2	0	0	1	0	0	0	1	0	0	0	2	0	0	0	0	0	0	0	0	1	0
Bifidobacterium adolescentis P2P3	fig|1680.178	0	1	0	0	0	0	3	1	1	4	5	0	2	1	0	16	0	0	0	3	1	1	0	0	0	1	1	1	0	0	2	1	0	3	7	0	0	1	0	0	0	0	0	2	0	0	0	0	0	1	1	0	1	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	3	0
Bifidobacterium adolescentis STL_TW14.1_LFYP80	fig|6666666.201645	0	0	0	0	0	1	3	1	1	3	6	0	2	1	0	15	0	0	0	3	2	0	0	0	0	1	1	2	0	0	2	1	0	4	9	0	0	1	0	0	0	0	0	2	0	0	0	0	0	1	0	0	1	0	0	0	1	1	0	0	2	0	0	0	0	0	0	0	0	1	0
Bifidobacterium adolescentis TM06-4	fig|1680.143	0	0	0	0	0	0	3	1	0	3	6	0	2	1	0	15	0	0	0	3	1	0	0	0	0	1	0	2	0	0	2	1	0	3	8	0	0	1	0	0	0	0	0	2	0	0	0	0	0	1	0	0	1	0	0	0	1	1	0	0	2	0	0	0	0	0	0	0	0	2	0
Bifidobacterium adolescentis ZJ2	fig|1680.1909	0	0	0	0	0	0	3	1	0	2	6	0	2	1	0	16	0	0	0	3	1	0	0	0	0	1	1	2	0	0	2	1	0	3	10	0	0	1	0	0	0	0	0	2	0	0	0	0	0	1	0	0	1	0	0	0	1	1	0	0	2	0	0	0	0	0	0	0	0	1	0
Bifidobacterium angulatum DSM 20098	fig|518635.5	0	0	1	0	0	0	2	1	1	2	3	0	0	1	0	11	0	0	0	2	1	0	0	0	0	0	2	2	0	0	2	0	0	2	4	0	0	1	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0
Bifidobacterium angulatum GT102	fig|1683.4	0	0	1	0	0	0	3	1	0	1	3	0	0	1	0	12	0	1	0	2	1	1	0	0	0	0	1	2	0	0	3	0	0	2	5	0	0	1	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0
Bifidobacterium animalis subsp. lactis ATCC 27673	fig|1167629.6	0	1	2	1	0	0	3	1	1	3	2	0	2	0	1	12	0	0	0	2	1	0	0	0	0	1	0	1	0	0	3	0	0	1	3	0	0	1	0	0	0	0	0	2	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
Bifidobacterium animalis subsp. lactis BB-12	fig|552531.3	0	1	2	0	0	0	2	1	1	2	3	0	1	0	0	13	0	0	0	2	2	0	0	0	0	1	0	1	0	0	3	0	0	2	3	0	0	1	0	0	0	0	0	2	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
Bifidobacterium animalis subsp. lactis CNCM I-2494	fig|1042403.4	0	1	2	0	0	0	2	1	1	2	3	0	1	0	0	13	0	0	0	2	2	0	0	0	0	2	0	1	0	0	3	0	0	2	3	0	0	1	0	0	0	0	0	2	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
Bifidobacterium animalis subsp. lactis DSM 10140	fig|555970.3	0	1	2	0	0	0	2	1	1	2	3	0	1	0	0	12	0	0	0	2	2	0	0	0	0	2	0	1	0	0	3	0	0	2	3	0	0	1	0	0	0	0	0	2	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
Bifidobacterium bifidum 156B	fig|1681.51	0	0	1	0	0	1	0	1	1	3	1	0	0	0	0	6	0	0	4	2	1	0	0	0	1	0	0	0	2	0	1	0	0	1	3	0	0	1	0	0	0	0	0	1	0	2	0	1	0	0	1	1	1	1	2	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0
Bifidobacterium bifidum 85B	fig|1681.46	0	0	1	0	0	1	0	2	1	3	1	0	0	0	0	6	0	0	4	4	1	0	0	0	1	0	0	0	2	0	1	0	0	2	3	0	0	1	0	0	0	0	0	1	0	2	0	1	0	0	1	1	1	1	2	0	0	0	1	0	0	1	0	1	0	0	0	0	0	0	0
Bifidobacterium bifidum AM36-1AC	fig|1681.129	0	0	1	0	0	1	0	2	1	3	1	0	0	0	0	6	0	0	4	2	2	0	0	0	1	0	0	0	2	0	1	0	0	2	3	0	0	1	0	0	0	0	0	1	0	2	0	1	0	0	1	1	1	1	2	0	0	0	1	0	0	1	0	1	0	0	0	0	0	0	0
Bifidobacterium bifidum ATCC 29521 = JCM 1255 = DSM 20456	fig|500634.6	0	0	1	0	0	1	0	1	2	3	1	0	0	0	0	6	0	0	4	2	2	0	0	0	1	0	0	0	3	0	1	0	0	2	3	0	0	1	0	0	0	0	0	1	0	2	0	1	0	0	1	1	1	1	2	0	0	0	1	0	0	1	0	1	0	0	0	0	0	0	0
Bifidobacterium bifidum BF3	fig|1681.42	0	0	1	0	0	1	0	1	2	3	1	0	0	0	0	6	0	0	4	3	2	0	0	0	1	0	0	0	3	0	1	0	0	2	3	0	0	1	0	0	0	0	0	1	0	2	0	1	0	0	1	1	1	1	2	0	0	0	1	0	0	1	0	1	0	0	0	0	0	0	0
Bifidobacterium bifidum Bg41221_3D10	fig|1681.1372	0	1	1	0	0	1	0	1	2	3	1	0	1	0	0	6	0	0	5	4	3	0	0	0	2	0	0	0	2	0	1	0	0	1	3	0	0	1	0	0	0	0	0	1	0	2	0	1	0	0	1	1	1	1	2	0	0	0	1	0	0	1	0	1	0	0	0	0	0	0	0
Bifidobacterium bifidum BGN4	fig|484020.3	0	0	1	0	0	1	0	1	1	3	1	0	1	0	0	6	0	0	4	3	2	0	0	0	1	0	0	0	2	0	1	0	0	2	2	0	0	1	0	0	0	0	0	1	0	2	0	1	0	0	1	1	1	1	2	0	0	0	1	0	0	1	0	1	0	0	0	0	0	0	0
Bifidobacterium bifidum BIOML-A8	fig|1681.806	0	0	1	0	0	1	0	1	1	3	1	0	0	0	0	6	0	0	4	2	1	0	0	0	1	0	0	0	2	0	1	0	0	1	3	0	0	1	0	0	0	0	0	1	0	2	0	1	0	0	1	1	1	1	2	0	0	0	1	0	0	1	0	1	0	0	0	0	0	0	0
Bifidobacterium bifidum BSD2780061688st1_G1	fig|1681.763	0	0	1	0	0	1	0	1	1	3	1	0	0	0	0	6	0	0	4	2	3	0	0	0	1	0	0	0	2	0	1	0	0	2	2	0	0	1	0	0	0	0	0	1	0	2	0	1	0	0	1	1	1	1	2	0	0	0	1	0	0	1	0	1	0	0	0	0	0	0	0
Bifidobacterium bifidum ICIS-202	fig|1681.762	0	0	1	0	0	1	0	1	1	3	1	0	0	0	0	6	0	0	4	3	2	0	0	0	1	0	0	0	2	0	1	0	0	2	2	0	0	1	0	0	0	0	0	1	0	2	0	1	0	0	1	1	0	1	4	0	0	0	1	0	0	1	0	1	0	0	0	0	0	0	0
Bifidobacterium bifidum IPLA 20015	fig|1681.44	0	0	1	0	0	1	0	1	1	3	1	0	0	0	0	6	0	0	4	2	1	0	0	0	1	0	0	0	2	0	1	0	0	1	2	0	0	1	0	0	0	0	0	1	0	2	0	1	0	0	1	1	1	1	2	0	0	0	1	0	0	1	0	1	0	0	0	0	0	0	0
Bifidobacterium bifidum LMG 11583	fig|1681.47	0	0	1	0	0	1	0	1	1	3	1	0	0	0	0	6	0	0	4	3	1	0	0	0	1	0	0	0	1	0	1	0	0	1	3	0	0	1	0	0	0	0	0	1	0	2	0	1	0	0	1	1	1	1	2	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0
Bifidobacterium bifidum LMG 13195 = JCM 7004	fig|1207542.9	0	0	1	0	0	1	0	1	2	3	1	0	0	0	0	6	0	0	4	2	2	0	0	0	1	0	0	0	2	0	1	0	0	2	2	0	0	1	0	0	0	0	0	1	0	2	0	1	0	0	1	1	1	1	2	0	0	0	1	0	0	1	0	1	0	0	0	0	0	0	0
Bifidobacterium bifidum LMG 13200	fig|1681.48	0	0	1	0	0	2	0	1	1	3	1	0	0	0	0	6	0	0	4	3	1	0	0	0	1	0	0	0	2	0	1	0	0	1	3	0	0	1	0	0	0	0	0	1	0	2	0	1	0	0	1	1	1	1	2	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0
Bifidobacterium bifidum MJR8628B	fig|1681.53	0	0	1	0	0	1	0	2	1	3	1	0	0	0	0	6	0	0	4	3	3	0	0	0	1	0	0	0	2	0	1	0	0	2	3	0	0	1	0	0	0	0	0	1	0	2	0	1	0	0	0	1	1	1	1	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0
Bifidobacterium bifidum NCIMB 41171	fig|398513.5	0	0	1	0	0	1	0	1	1	3	1	0	0	0	0	6	0	0	4	2	1	0	0	0	1	0	0	0	2	0	1	0	0	2	2	0	0	1	0	0	0	0	0	1	0	2	0	1	0	0	1	1	1	1	2	0	0	0	1	0	0	1	0	1	0	0	0	0	0	0	0
Bifidobacterium bifidum PRI 1	fig|1681.94	0	0	1	0	0	1	0	1	1	3	1	0	1	0	0	6	0	0	4	3	3	0	0	0	1	0	0	0	2	0	1	0	0	2	2	0	0	1	0	0	0	0	0	1	0	2	0	1	0	0	1	1	1	1	2	0	0	0	1	0	0	1	0	1	0	0	0	0	0	0	0
Bifidobacterium bifidum PRL2010	fig|702459.3	0	0	1	0	0	1	0	1	1	3	1	0	0	0	0	6	0	0	4	2	2	0	0	0	1	0	0	0	2	0	1	0	0	2	2	0	0	1	0	0	0	0	0	1	0	2	0	1	0	0	1	1	1	1	2	0	0	0	1	0	0	1	0	1	0	0	0	0	0	0	0
Bifidobacterium bifidum S17	fig|883062.5	0	0	1	0	0	1	0	1	1	3	1	0	0	0	0	6	0	0	4	2	1	0	0	0	1	0	0	0	2	0	1	0	0	1	2	0	0	1	0	0	0	0	0	1	0	2	0	1	0	0	1	1	1	1	2	0	0	0	1	0	0	1	0	1	0	0	0	0	0	0	0
Bifidobacterium bifidum S6	fig|1681.114	0	0	1	0	0	1	0	2	1	3	1	0	0	0	0	6	0	0	4	4	2	0	0	0	1	0	0	0	2	0	1	0	0	1	2	0	0	1	0	0	0	0	0	1	0	2	0	1	0	0	1	1	1	1	2	0	0	0	1	0	0	1	0	1	0	0	0	0	0	0	0
Bifidobacterium bifidum TM04-12	fig|1681.116	0	0	1	0	0	1	0	1	1	3	1	0	1	0	0	6	0	0	4	3	1	0	0	0	1	0	0	0	2	0	1	0	0	2	3	0	0	1	0	0	0	0	0	1	0	2	0	1	0	0	1	1	1	1	2	0	0	0	1	0	0	1	0	1	0	0	0	0	0	0	0
Bifidobacterium bifidum TMC 3115	fig|1681.137	0	0	1	0	0	1	0	1	1	3	1	0	0	0	0	6	0	0	4	2	2	0	0	0	1	0	0	0	2	0	1	0	0	2	2	0	0	1	0	0	0	0	0	1	0	2	0	1	0	0	1	1	1	1	2	0	0	0	1	0	0	1	0	1	0	0	0	0	0	0	0
Bifidobacterium breve 12L	fig|1385938.3	0	0	0	0	0	2	0	1	1	2	3	0	2	0	0	12	0	1	1	4	1	0	0	0	0	0	0	1	1	0	3	2	0	2	1	0	0	0	1	0	0	0	0	2	0	0	0	0	0	0	1	0	1	0	1	0	0	0	0	1	1	1	0	0	0	0	0	0	0	1	0
Bifidobacterium breve 689b	fig|1385942.3	0	0	0	0	0	2	0	1	1	3	6	0	2	0	0	12	0	2	1	3	1	0	0	0	0	1	0	1	1	0	2	2	0	2	1	0	0	0	1	1	0	0	0	2	1	0	1	0	0	0	1	0	1	0	1	0	0	0	0	1	1	1	0	0	0	0	0	1	0	0	0
Bifidobacterium breve ACS-071-V-Sch8b	fig|866777.3	0	1	0	0	0	2	1	1	2	4	5	0	2	0	0	11	0	1	1	3	1	0	0	0	0	0	0	1	1	0	2	2	0	3	1	0	0	0	1	0	1	0	0	2	0	0	0	0	0	0	1	0	1	0	1	0	0	0	0	1	1	1	0	0	0	0	0	0	0	0	1
Bifidobacterium breve Bg046.S10_2D4	fig|216816.1985	0	0	0	0	0	1	0	1	1	3	6	0	2	0	0	14	0	1	1	2	2	0	0	0	0	1	2	2	1	0	3	3	0	2	1	0	0	0	1	1	1	0	0	2	1	0	1	0	0	0	1	0	1	0	1	0	0	0	0	1	0	1	0	0	0	0	0	1	0	2	0
Bifidobacterium breve Bg155.S08_4F7	fig|216816.1988	0	0	0	0	0	1	0	1	1	2	5	0	2	0	0	13	0	0	1	4	1	0	0	0	0	1	1	2	1	0	3	3	0	2	0	0	0	0	1	1	0	0	0	2	1	0	1	0	0	0	1	0	1	0	1	0	0	0	0	1	0	1	0	0	0	0	0	1	0	2	0
Bifidobacterium breve Bg155.S09_23A9	fig|1682.55	0	1	0	0	0	2	1	1	2	4	5	0	2	0	0	13	0	0	1	4	1	0	0	0	0	0	0	2	1	0	3	2	0	2	1	0	0	0	1	0	1	0	0	2	0	0	0	0	0	0	1	0	1	0	1	0	0	0	0	1	0	1	0	0	0	0	0	0	0	2	0
Bifidobacterium breve Bg41221_3D4	fig|1685.589	0	0	0	0	0	2	0	1	2	2	6	0	2	0	0	12	0	0	1	3	1	0	0	0	0	0	0	1	1	0	2	2	0	2	1	0	0	0	1	0	0	0	0	2	1	0	0	0	0	0	1	0	1	0	1	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0
Bifidobacterium breve Bg41721_1A9	fig|1685.590	0	0	0	0	0	2	0	1	1	2	3	0	2	0	0	13	0	1	1	2	2	0	0	0	0	0	1	2	1	0	3	3	0	2	1	0	0	0	0	0	0	0	0	2	0	0	1	0	0	0	1	0	1	0	1	0	0	0	0	1	0	1	0	0	0	0	0	0	0	2	0
Bifidobacterium breve Bg41721_1C11	fig|1685.400	0	1	0	0	0	1	1	2	2	3	5	0	2	0	0	14	0	0	1	2	1	0	0	0	0	1	1	1	0	0	3	3	0	3	1	0	0	1	0	1	0	0	0	2	2	0	1	0	0	1	1	0	1	0	1	0	0	0	1	1	0	1	0	0	0	0	0	1	0	1	0
Bifidobacterium breve Bg42221_1C1	fig|1685.408	0	1	0	0	0	1	1	1	2	3	4	0	2	0	0	13	0	1	1	3	1	0	0	0	0	0	2	2	1	1	2	3	0	2	1	0	0	0	1	0	0	0	0	2	0	0	1	0	0	0	1	0	1	0	1	0	0	0	0	1	0	1	0	0	0	0	0	0	0	1	0
Bifidobacterium breve Bg42221_1D1	fig|1685.409	0	1	0	0	0	1	1	1	2	3	4	0	2	0	0	13	0	1	1	3	1	0	0	0	0	0	2	2	1	1	2	3	0	2	1	0	0	0	1	0	0	0	0	2	0	0	1	0	0	0	1	0	1	0	1	0	0	0	0	1	0	1	0	0	0	0	0	0	0	1	0
Bifidobacterium breve CECT 7263	fig|1036735.3	0	1	0	0	0	2	1	1	2	4	5	0	2	0	0	13	0	1	1	4	1	0	0	0	0	0	1	2	1	0	2	2	0	2	0	0	0	0	1	0	1	0	0	2	0	0	0	0	0	0	2	0	1	0	1	0	0	0	0	1	1	1	0	0	0	0	0	0	0	1	0
Bifidobacterium breve DPC 6330	fig|1074482.3	0	0	0	0	0	1	0	1	1	3	3	0	2	0	0	12	0	1	1	4	1	0	0	0	0	0	1	3	1	0	2	2	0	2	1	0	0	0	1	0	1	0	0	2	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	1	1	1	0	0	0	0	0	0	0	2	0
Bifidobacterium breve DSM 20213 = JCM 1192	fig|518634.20	0	0	0	0	0	2	0	1	1	2	5	0	2	0	0	11	0	0	1	3	1	0	0	0	0	0	0	1	1	0	2	2	0	2	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	1	0	1	0	1	0	0	0	0	1	1	1	0	0	0	0	0	0	0	0	0
Bifidobacterium breve HPH0326	fig|1203540.3	0	1	0	0	0	1	1	2	2	4	5	0	2	0	0	13	0	1	1	5	3	0	0	0	0	0	1	2	1	0	2	2	0	2	0	0	0	0	1	0	1	0	0	2	0	0	1	0	0	0	1	0	1	0	1	0	0	0	1	1	1	1	0	0	0	0	0	0	0	1	0
Bifidobacterium breve JCM 7017	fig|1385939.3	0	0	0	0	0	2	0	1	2	2	5	0	2	0	0	13	0	1	1	3	2	0	0	0	0	0	1	2	1	0	2	2	0	3	1	0	0	0	1	0	0	0	0	2	0	0	1	0	0	0	1	0	1	0	1	0	0	0	0	1	0	1	0	0	0	0	0	0	0	1	0
Bifidobacterium breve JCM 7019	fig|1385940.3	0	1	0	0	0	2	1	1	3	4	4	0	2	0	0	12	0	1	1	2	2	0	0	0	0	1	1	1	1	1	3	3	0	2	0	0	0	0	0	0	0	0	0	2	1	0	1	0	0	0	1	0	1	0	1	0	0	0	0	1	1	1	0	0	1	0	0	0	0	1	0
Bifidobacterium breve JG_Bg463	fig|1685.1289	0	0	0	0	0	2	0	1	0	2	5	0	1	0	0	13	0	1	1	4	1	0	0	0	0	0	1	2	1	0	3	0	0	2	1	0	0	1	0	0	0	0	0	2	0	0	0	0	0	0	1	0	1	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	2	0
Bifidobacterium breve MCC 0121	fig|1365960.3	0	0	0	0	0	2	0	1	2	2	4	0	2	0	0	12	0	1	1	5	2	0	0	0	0	0	2	3	1	0	2	3	0	3	1	0	0	0	0	0	0	0	0	2	0	0	1	0	0	0	1	0	1	0	1	0	0	0	0	1	1	1	0	0	0	0	0	0	0	2	0
Bifidobacterium breve MCC 0305	fig|1365961.3	0	0	0	0	0	2	0	1	1	3	3	0	2	0	0	11	0	1	1	3	2	0	0	0	1	0	0	1	1	0	2	2	0	2	0	0	0	0	1	0	1	0	0	2	0	0	0	0	0	0	1	0	1	0	1	0	0	0	0	1	1	1	0	0	0	0	0	0	0	0	0
Bifidobacterium breve MCC 0476	fig|1365962.3	0	0	0	0	0	1	0	1	2	2	5	0	2	0	0	13	0	2	1	2	1	0	0	0	0	0	2	3	1	0	2	2	0	2	0	0	0	0	1	0	0	0	0	3	0	0	1	0	0	0	1	0	1	0	1	0	0	0	0	1	1	1	0	0	0	0	0	0	0	2	0
Bifidobacterium breve MCC 1094	fig|1365963.3	0	0	0	0	0	1	0	1	2	3	4	0	2	0	0	12	0	1	1	3	1	0	0	0	0	0	2	2	1	0	2	3	0	2	0	0	0	0	1	0	1	0	0	2	0	0	1	0	0	0	1	0	1	0	1	0	0	0	0	1	1	1	0	0	0	0	0	0	0	1	0
Bifidobacterium breve MCC 1114	fig|1365964.3	0	0	0	0	0	2	0	1	2	3	4	0	2	0	0	13	0	1	1	5	1	0	0	0	0	0	1	3	1	1	2	2	0	2	0	0	0	0	1	0	1	0	0	2	1	0	0	0	0	0	1	0	1	0	1	0	0	0	0	1	1	1	0	0	0	0	0	0	0	2	0
Bifidobacterium breve MCC 1128	fig|1365965.3	0	0	0	0	0	1	0	1	1	3	4	0	2	0	0	12	0	1	1	5	3	0	0	0	0	1	1	3	1	0	2	2	0	2	0	0	0	0	1	1	1	0	0	2	1	0	0	0	0	0	1	0	1	0	1	0	0	0	0	1	1	1	0	0	0	0	0	1	0	2	0
Bifidobacterium breve MCC 1340	fig|1365966.3	0	1	0	0	0	1	1	1	3	3	6	0	2	0	0	12	0	2	1	3	1	0	0	0	1	0	1	4	1	0	2	2	0	2	0	0	0	0	1	0	0	0	0	2	0	0	1	0	0	0	1	0	1	0	1	0	0	0	0	1	1	1	0	0	0	0	0	0	0	2	0
Bifidobacterium breve MCC 1604	fig|1365968.3	0	0	0	0	0	2	0	1	1	3	3	0	2	0	0	12	0	1	1	2	1	0	0	0	0	0	1	2	1	0	1	2	0	2	0	0	0	0	1	0	0	0	0	2	0	0	0	0	0	0	1	0	1	0	1	0	0	0	0	1	1	1	0	0	0	0	0	0	0	1	0
Bifidobacterium breve MCC 1605	fig|1365969.3	0	0	0	0	0	2	0	1	1	2	2	0	2	0	0	13	0	1	1	4	2	0	0	0	0	0	1	3	1	0	2	2	0	3	1	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	1	0	1	0	1	0	0	0	0	1	1	1	0	0	0	0	0	0	0	2	0
Bifidobacterium breve NCFB 2258	fig|1385941.3	0	0	0	0	0	2	0	1	1	3	5	0	2	0	0	11	0	1	1	3	1	0	0	0	0	0	1	1	1	0	2	3	0	2	0	0	0	0	1	0	1	0	0	2	0	0	1	0	0	0	1	0	1	0	1	0	0	0	0	1	1	1	0	0	0	0	0	0	0	0	0
Bifidobacterium breve PE1C332_2G11	fig|1682.56	0	1	0	0	0	2	1	1	3	5	7	0	1	0	0	13	0	2	1	3	1	0	0	0	0	2	0	2	1	0	2	2	0	2	0	0	0	0	1	1	0	0	0	2	1	0	1	0	0	0	1	0	1	0	1	0	0	0	0	1	0	1	0	0	0	0	0	1	0	2	0
