Organism	seed_id	Gene_ID	EC#	HMMER	dbCAN_sub	DIAMOND	Signalp	#ofTools	Families	Function	Subsystem
Bifidobacterium longum subsp. longum VMKB44	fig|1679.7	fig|1679.7.peg.1567	2.4.1.211:13	GH112(5-750)	GH112_e0	GH112	N	3	GH112	1,3-beta-galactosyl-N-acetylhexosamine phosphorylase (EC 2.4.1.211)	HMO utilization in bifidobacteria; O-glycan utilization in bifidobacteria
Bifidobacterium longum subsp. longum VMKB44	fig|1679.7	fig|1679.7.peg.1639	3.2.1.37:21|3.2.1.55:3|3.2.1.-:1|-	GH43_11(3-304)+CBM91(332-538)	GH43_e285+CBM91_e24	GH43_11	N	3	GH43_11	Beta-1,4-xylosidase-3 (GH43_11)	Xylose and xyloside utilization in bifidobacteria
Bifidobacterium longum subsp. longum VMKB44	fig|1679.7	fig|1679.7.peg.1640	3.2.1.55:1	GH43_12(21-367)	GH43_e260	GH43_12	N	3	GH43_12	Monosubstituted AXOS alpha-1,2/3-L-arabinofuranosidase (GH43_12)	Xylose and xyloside utilization in bifidobacteria
Bifidobacterium longum subsp. longum VMKB44	fig|1679.7	fig|1679.7.peg.1642	-	GH120(315-404)	GH120_e3	GH120	N	3	GH120	Beta-1,4-xylosidase-1 (GH120)	Xylose and xyloside utilization in bifidobacteria
Bifidobacterium longum subsp. longum VMKB44	fig|1679.7	fig|1679.7.peg.1687	-	GH109(16-173)	GH109_e7	-	N	2	GH109	Putative oxidoreductase	-
Bifidobacterium longum subsp. longum VMKB44	fig|1679.7	fig|1679.7.peg.1704	3.2.1.21:6	GH3(81-313)	GH3_e91	GH3	N	3	GH3	Beta-glucosidase-2 (GH3)	Beta-glucoside utilization in bifidobacteria
Bifidobacterium longum subsp. longum VMKB44	fig|1679.7	fig|1679.7.peg.1708	3.2.1.55:1|3.2.1.21:1|3.2.1.58:1	GH5_44(58-366)	GH5_e69	GH5_44	N	3	GH5_44	Putative flavonoid/ginsenoside glycoside hydrolase (GH5_44)	Beta-glucoside utilization in bifidobacteria
Bifidobacterium longum subsp. longum VMKB44	fig|1679.7	fig|1679.7.peg.1735	-	CE8(1-194)	CE8_e12	CE0	N	3	CE8,CE0	hypothetical protein	-
Bifidobacterium longum subsp. longum VMKB44	fig|1679.7	fig|1679.7.peg.176	-	GH3(687-874)	GH3_e130	GH3	N	3	GH3	Beta-glucosidase-3 (GH3)	Beta-glucoside utilization in bifidobacteria
Bifidobacterium longum subsp. longum VMKB44	fig|1679.7	fig|1679.7.peg.1767	-	GH3(1-98)	GH3_e130	-	N	2	GH3	hypothetical protein	-
Bifidobacterium longum subsp. longum VMKB44	fig|1679.7	fig|1679.7.peg.1798	3.2.1.22:8	GH36(38-714)	GH36_e2	GH36	N	3	GH36	Alpha-1,6/4/3-galactosidase (GH36)	Alpha-galactoside utilization in bifidobacteria
Bifidobacterium longum subsp. longum VMKB44	fig|1679.7	fig|1679.7.peg.1805	5.4.99.11:5|3.2.1.20:4|3.2.1.10:1|3.2.1.-:1|3.2.1.70:1	GH13_31(46-412)	GH13_e122	GH13_31	N	3	GH13_31	Alpha-1,6-glucosidase (GH13_31)	Alpha-glucoside utilization in bifidobacteria
Bifidobacterium longum subsp. longum VMKB44	fig|1679.7	fig|1679.7.peg.2119	3.2.1.23:18	GH42(25-396)	GH42_e28	GH42	N	3	GH42	Beta-1,4-galactosidase (GH42)	Beta-galactoside utilization in bifidobacteria
Bifidobacterium longum subsp. longum VMKB44	fig|1679.7	fig|1679.7.peg.2226	-	GH13_3(317-535)	GH13_e41	GH13_3	N	3	GH13_3	Cytoplasmic alpha-amylase (EC 3.2.1.1)	Maltose and starch utilization in bifidobacteria
Bifidobacterium longum subsp. longum VMKB44	fig|1679.7	fig|1679.7.peg.2236	2.4.1.25:4	GH77(189-697)	GH77_e2	GH77	N	3	GH77	4-alpha-glucanotransferase (amylomaltase)-2 (EC 2.4.1.25)	Maltose and starch utilization in bifidobacteria
Bifidobacterium longum subsp. longum VMKB44	fig|1679.7	fig|1679.7.peg.2244	5.4.99.11:5|3.2.1.20:4|3.2.1.10:1|3.2.1.-:1|3.2.1.70:1	GH13_31(62-428)	GH13_e122	GH13_31	N	3	GH13_31	Alpha-1,6-glucosidase (GH13_31)	Alpha-glucoside utilization in bifidobacteria
Bifidobacterium longum subsp. longum VMKB44	fig|1679.7	fig|1679.7.peg.235	-	GH3(129-355)	GH3_e11	GH3	Y(1-17)	3	GH3	beta-glycosyl hydrolase	-
Bifidobacterium longum subsp. longum VMKB44	fig|1679.7	fig|1679.7.peg.263	2.4.1.18:57|2.4.1.18:14	GH13_9(300-600)	CBM48_e2+GH13_e200	CBM48+GH13_9	N	3	GH13_9	1,4-alpha-glucan (glycogen) branching enzyme (GH13_9)	Maltose and starch utilization in bifidobacteria
Bifidobacterium longum subsp. longum VMKB44	fig|1679.7	fig|1679.7.peg.280	3.2.1.68:75|2.4.1.25:4|3.2.1.-:1|3.2.1.68:15|3.2.1.-:1	CBM48(3-92)+GH13_11(172-525)	CBM48_e3+GH13_e48	CBM48+GH13_11	N	3	GH13_11	Putative glycogen debranching enzyme (GH13_11)	Maltose and starch utilization in bifidobacteria
Bifidobacterium longum subsp. longum VMKB44	fig|1679.7	fig|1679.7.peg.285	3.2.1.23:35	GH2(22-903)	GH2_e1	GH2	N	3	GH2	Beta-1,4-galactosidase (GH2)	HMO utilization in bifidobacteria; Beta-galactoside utilization in bifidobacteria
Bifidobacterium longum subsp. longum VMKB44	fig|1679.7	fig|1679.7.peg.332	-	GH13_4(163-560)	GH13_e4	GH13_4	N	3	GH13_4	Amylosucrase (EC 2.4.1.4)	Fructose and fructoside utilization in bifidobacteria
Bifidobacterium longum subsp. longum VMKB44	fig|1679.7	fig|1679.7.peg.352	-	GH25(40-220)	GH25_e8	GH25	Y(1-36)	3	GH25	hypothetical protein	-
Bifidobacterium longum subsp. longum VMKB44	fig|1679.7	fig|1679.7.peg.578	-	CE9(40-423)	CE9_e95	CE9	N	3	CE9	N-acetylglucosamine-6-phosphate deacetylase (EC 3.5.1.25)	Sialic acid utilization in bifidobacteria; HMO utilization in bifidobacteria; N-acetylglucosamine utilization in bifidobacteria
Bifidobacterium longum subsp. longum VMKB44	fig|1679.7	fig|1679.7.peg.636	3.2.1.55:1	GH43_22(518-758)	GH43_e249	GH43_22	Y(1-27)	3	GH43_22	Extracellular alpha-1,3-L-arabinofuranosidase (GH43_22)	Type II arabinogalactan and gum arabic utilization in bifidobacteria; Arabinose and arabinoside utilization in bifidobacteria
Bifidobacterium longum subsp. longum VMKB44	fig|1679.7	fig|1679.7.peg.637	3.2.1.55:1	GH43_22(505-749)	GH43_e135	GH43_22	Y(1-31)	3	GH43_22	Extracellular alpha-1,5-L-arabinofuranosidase (GH43_22)	Arabinose and arabinoside utilization in bifidobacteria
Bifidobacterium longum subsp. longum VMKB44	fig|1679.7	fig|1679.7.peg.638	3.2.1.37:1|3.2.1.55:1|3.2.1.55:1	GH43_27(737-1084)	GH43_e243+GH43_e116	GH43_27	Y(1-35)	3	GH43_27	Extracellular alpha-1,2/3-L-arabinofuranosidase (GH43_27)	Arabinose and arabinoside utilization in bifidobacteria
Bifidobacterium longum subsp. longum VMKB44	fig|1679.7	fig|1679.7.peg.640	-|3.2.1.55:1	GH43_22(407-675)+GH43_26(1467-1822)	GH43_e200+GH43_e249	GH43+GH43_22	Y(1-24)	3	GH43_22,GH43_26	Extracellular alpha-1,2/5-L-arabinofuranosidase (GH43_UC_26)	Xylose and xyloside utilization in bifidobacteria; Arabinose and arabinoside utilization in bifidobacteria
Bifidobacterium longum subsp. longum VMKB44	fig|1679.7	fig|1679.7.peg.641	3.2.1.37:1|3.2.1.55:1	GH43_22(438-674)+GH43_34(1056-1355)	GH43_e201+GH43_e28	GH43_22+GH43_34	Y(1-27)	3	GH43_22,GH43_34	Extracellular alpha-1,3/4-L-arabinofuranosidase (GH43_22_34)	Type II arabinogalactan and gum arabic utilization in bifidobacteria; Xylose and xyloside utilization in bifidobacteria; Arabinose and arabinoside utilization in bifidobacteria
Bifidobacterium longum subsp. longum VMKB44	fig|1679.7	fig|1679.7.peg.648	3.2.1.213:1|3.2.1.213:1	GH30_5(39-635)	GH30_e37+CBM13_e247	CBM13+GH30_5	Y(1-32)	3	GH30_5	Extracellular exo-beta-1,6-galactobiohydrolase (GH30_5)	Type II arabinogalactan and gum arabic utilization in bifidobacteria
Bifidobacterium longum subsp. longum VMKB44	fig|1679.7	fig|1679.7.peg.649	3.2.1.145:1	GH43_24(90-458)	GH43_e313	GH43_24	Y(1-34)	3	GH43_24	Extracellular exo-beta-1,3-galactanase (GH43_24)	Type II arabinogalactan and gum arabic utilization in bifidobacteria
Bifidobacterium longum subsp. longum VMKB44	fig|1679.7	fig|1679.7.peg.666	3.2.1.185:2	GH127(14-618)	GH127_e0	GH127	N	3	GH127	Putative beta-L-arabinofuranosidase (GH127)	Type II arabinogalactan and gum arabic utilization in bifidobacteria
Bifidobacterium longum subsp. longum VMKB44	fig|1679.7	fig|1679.7.peg.670	-	GH27(163-355)	GH27_e1	GH27	N	3	GH27	Beta-L-arabinopyranosidase (GH27)	Type II arabinogalactan and gum arabic utilization in bifidobacteria
Bifidobacterium longum subsp. longum VMKB44	fig|1679.7	fig|1679.7.peg.686	-	GH25(260-446)	GH25_e221	GH25	N	3	GH25	Choline binding protein A	-
Bifidobacterium longum subsp. longum VMKB44	fig|1679.7	fig|1679.7.peg.719	3.2.1.55:1	GH43_29(92-415)	GH43_e210	GH43_29	Y(1-36)	3	GH43_29	Extracellular alpha-1,3-L-arabinofuranosidase (GH43_29)	Arabinose and arabinoside utilization in bifidobacteria
Bifidobacterium longum subsp. longum VMKB44	fig|1679.7	fig|1679.7.peg.720	3.2.1.187:2	GH121(4-1467)	GH121_e0	GH121	Y(1-33)	3	GH121	Extracellular beta-L-arabinobiosidase (GH121)	Arabinose and arabinoside utilization in bifidobacteria
Bifidobacterium longum subsp. longum VMKB44	fig|1679.7	fig|1679.7.peg.722	3.2.1.185:2	GH127(13-576)	GH127_e0	GH127	N	3	GH127	Beta-1,2-L-arabinofuranosidase (GH127)	Arabinose and arabinoside utilization in bifidobacteria
Bifidobacterium longum subsp. longum VMKB44	fig|1679.7	fig|1679.7.peg.757	3.2.1.97:8|3.2.1.97:8|3.2.1.35:2|3.2.1.52:2	GH101(347-1088)+CBM32(1554-1687)	GH101_e0+CBM32_e206	CBM32+GH101	Y(1-30)	3	GH101	Extracellular endo-alpha-N-acetylgalactosaminidase (GH101)	O-glycan utilization in bifidobacteria
Bifidobacterium longum subsp. longum VMKB44	fig|1679.7	fig|1679.7.peg.79	3.2.1.23:18	GH42(24-394)	GH42_e28	GH42	N	3	GH42	Beta-1,3/4/6-galactosidase (GH42)	Beta-galactoside utilization in bifidobacteria; HMO utilization in bifidobacteria
Bifidobacterium longum subsp. longum VMKB44	fig|1679.7	fig|1679.7.peg.81	3.2.1.55:37	GH51(53-564)	GH51_e0	GH51	N	3	GH51	Alpha-1,3/5-L-arabinofuranosidase (GH51)	Arabinose and arabinoside utilization in bifidobacteria
Bifidobacterium longum subsp. longum VMKB44	fig|1679.7	fig|1679.7.peg.813	-	GH31(198-627)	GH31_e77	GH31	N	3	GH31	Putative alpha-glucosidase (GH31)	Alpha-glucoside utilization in bifidobacteria
Bifidobacterium longum subsp. longum VMKB44	fig|1679.7	fig|1679.7.peg.818	2.4.1.25:4	GH77(204-728)	GH77_e2	GH77	N	3	GH77	4-alpha-glucanotransferase (amylomaltase) (EC 2.4.1.25)	Maltose and starch utilization in bifidobacteria
Bifidobacterium longum subsp. longum VMKB44	fig|1679.7	fig|1679.7.peg.820	3.2.1.20:2	GH13_30(33-403)	GH13_e234	GH13_30	N	3	GH13_30	Broad specificity alpha-glucosidase (GH13_30)	Maltose and starch utilization in bifidobacteria
Bifidobacterium longum subsp. longum VMKB44	fig|1679.7	fig|1679.7.peg.830	2.4.1.7:2	GH13_18(35-379)	GH13_e144	GH13_18	N	3	GH13_18	Sucrose phosphorylase (EC 2.4.1.7)	Fructose and fructoside utilization in bifidobacteria
Bifidobacterium longum subsp. longum VMKB44	fig|1679.7	fig|1679.7.peg.99	-	GH172(101-360)	GH172_e0	GH172	N	3	GH172	hypothetical protein	-
Bifidobacterium longum subsp. longum VMKB44	fig|1679.7	fig|1679.7.peg.993	-	GH13_20(46-332)	GH13_e155	GH13	N	3	GH13_20	Cytoplasmic alpha-amylase (EC 3.2.1.1)	Maltose and starch utilization in bifidobacteria
Bifidobacterium longum subsp. longum VMKB44	fig|1679.7	fig|1679.7.peg.15	-	-	GH23_e487	GH23	N	2	GH23	hypothetical protein	-
Bifidobacterium longum subsp. longum VMKB44	fig|1679.7	fig|1679.7.peg.1764	-	-	GH23_e314	GH0	Y(1-33)	2	GH23,GH0	Cell wall-binding protein	-
Bifidobacterium longum subsp. longum VMKB44	fig|1679.7	fig|1679.7.peg.442	-	-	GH23_e447	GH23	Y(1-33)	2	GH23	hypothetical protein	-
Bifidobacterium breve CECT 7263	fig|1036735.3	fig|1036735.3.peg.1008	3.2.1.20:2	GH13_30(4-282)	GH13_e234	GH13_30	N	3	GH13_30	Alpha-1,4/6-glucosidase (GH13_30)	Maltose and starch utilization in bifidobacteria
Bifidobacterium breve CECT 7263	fig|1036735.3	fig|1036735.3.peg.1025	-	GH109(16-173)	GH109_e7	-	N	2	GH109	Putative oxidoreductase for Trp catabolism	-
Bifidobacterium breve CECT 7263	fig|1036735.3	fig|1036735.3.peg.108	3.2.1.18:1	GH33(318-743)	GH33_e24	GH33	N	3	GH33	Alpha-2,3/6-sialidase (GH33)	HMO utilization in bifidobacteria
Bifidobacterium breve CECT 7263	fig|1036735.3	fig|1036735.3.peg.1106	-	GH25(261-447)	GH25_e221	GH25	Y(1-25)	3	GH25	1,4-beta-N-acetylmuramidase	-
Bifidobacterium breve CECT 7263	fig|1036735.3	fig|1036735.3.peg.1149	3.2.1.20:2	GH13_30(33-403)	GH13_e234	GH13_30	N	3	GH13_30	Broad specificity alpha-glucosidase (GH13_30)	Maltose and starch utilization in bifidobacteria
Bifidobacterium breve CECT 7263	fig|1036735.3	fig|1036735.3.peg.1154	2.4.1.25:4	GH77(193-716)	GH77_e2	GH77	N	3	GH77	4-alpha-glucanotransferase (amylomaltase) (EC 2.4.1.25)	Maltose and starch utilization in bifidobacteria
Bifidobacterium breve CECT 7263	fig|1036735.3	fig|1036735.3.peg.1155	-	GH13(39-436)	GH13_e57	GH13_44	N	3	GH13_44	Alpha-1,4-glucosidase (GH13_44)	Maltose and starch utilization in bifidobacteria
Bifidobacterium breve CECT 7263	fig|1036735.3	fig|1036735.3.peg.1161	3.2.1.1:5|3.2.1.116:1|3.2.1.1:2|3.2.1.41:2|3.2.1.41:25|3.2.1.1:2|3.2.1.68:2|3.2.1.41:25|3.2.1.1:2|3.2.1.68:2|3.2.1.41:14|3.2.1.1:4|3.2.1.68:2|3.2.1.-:2|3.2.1.-:2|3.2.1.68:1|3.2.1.41:1	GH13_32(77-353)+CBM25(535-604)+CBM41(747-857)+GH13_14(1124-1451)	GH13_e240+CBM25_e10+CBM41_e0+CBM41_e0+CBM48_e14+GH13_e95	CBM25+CBM41+CBM48+GH13_14+GH13_32	Y(1-35)	3	GH13_32,GH13_14	Extracellular type II bifunctional pullulanase (GH13_14_32)	Maltose and starch utilization in bifidobacteria
Bifidobacterium breve CECT 7263	fig|1036735.3	fig|1036735.3.peg.1195	2.4.1.7:2	GH13_18(36-379)	GH13_e144	GH13_18	N	3	GH13_18	Sucrose phosphorylase (EC 2.4.1.7)	Fructose and fructoside utilization in bifidobacteria
Bifidobacterium breve CECT 7263	fig|1036735.3	fig|1036735.3.peg.1301	-	GH2(5-772)	GH2_e79	GH2	N	3	GH2	Putative beta-1,4-mannosidase (GH2)	Mannose and mannoside utilization in bifidobacteria
Bifidobacterium breve CECT 7263	fig|1036735.3	fig|1036735.3.peg.1307	3.2.1.21:71|3.2.1.-:11|3.2.1.38:3|3.2.1.23:2|3.2.1.74:1	GH1(2-456)	GH1_e113	GH1	N	3	GH1	Broad specificity beta-glucosidase (GH1)	Mannose and mannoside utilization in bifidobacteria; Beta-glucoside utilization in bifidobacteria
Bifidobacterium breve CECT 7263	fig|1036735.3	fig|1036735.3.peg.1309	-	CE2(129-352)	CE2_e7	CE2	N	3	CE2	Putative acetylmannan esterase (CE2)	Mannose and mannoside utilization in bifidobacteria
Bifidobacterium breve CECT 7263	fig|1036735.3	fig|1036735.3.peg.1310	-	CE20(136-378)	CE20_e44	CE20	N	3	CE20	Putative carbohydrate esterase (CE20)	-
Bifidobacterium breve CECT 7263	fig|1036735.3	fig|1036735.3.peg.1445	3.2.1.23:35	GH2(46-924)	GH2_e1	GH2	N	3	GH2	Beta-1,4-galactosidase (GH2)	Beta-galactoside utilization in bifidobacteria; HMO utilization in bifidobacteria
Bifidobacterium breve CECT 7263	fig|1036735.3	fig|1036735.3.peg.1459	3.2.1.52:2	GH20(135-449)	GH20_e1	GH20	N	3	GH20	Beta-1,3/4/6-N-acetylglucosaminidase-2 (GH20)	N-acetylglucosamine utilization in bifidobacteria; HMO utilization in bifidobacteria; N-glycan utilization in bifidobacteria
Bifidobacterium breve CECT 7263	fig|1036735.3	fig|1036735.3.peg.1505	2.4.1.211:13	GH112(4-748)	GH112_e0	GH112	N	3	GH112	1,3-beta-galactosyl-N-acetylhexosamine phosphorylase (EC 2.4.1.211)	O-glycan utilization in bifidobacteria; HMO utilization in bifidobacteria
Bifidobacterium breve CECT 7263	fig|1036735.3	fig|1036735.3.peg.1548	5.4.99.11:5|3.2.1.20:4|3.2.1.10:1|3.2.1.-:1|3.2.1.70:1	GH13_31(46-412)	GH13_e122	GH13_31	N	3	GH13_31	Alpha-1,6-glucosidase (GH13_31)	Alpha-glucoside utilization in bifidobacteria
Bifidobacterium breve CECT 7263	fig|1036735.3	fig|1036735.3.peg.1553	3.2.1.22:8	GH36(38-717)	GH36_e2	GH36	N	3	GH36	Alpha-1,6/4/3-galactosidase (GH36)	Alpha-galactoside utilization in bifidobacteria
Bifidobacterium breve CECT 7263	fig|1036735.3	fig|1036735.3.peg.1596	3.2.1.21:22|3.2.1.-:4|3.2.1.37:1|3.2.1.55:1|3.2.1.23:1|3.2.1.45:1	GH3(25-245)	GH3_e197	GH3	N	3	GH3	Beta-glucosidase-3 (GH3)	Beta-glucoside utilization in bifidobacteria
Bifidobacterium breve CECT 7263	fig|1036735.3	fig|1036735.3.peg.1600	-	GH3(688-876)	GH3_e130	GH3	N	3	GH3	Beta-glucosidase-3 (GH3)	Beta-glucoside utilization in bifidobacteria
Bifidobacterium breve CECT 7263	fig|1036735.3	fig|1036735.3.peg.1629	3.2.1.23:35	GH2(45-932)	GH2_e1	GH2	N	3	GH2	Beta-1,4-galactosidase (GH2)	Beta-galactoside utilization in bifidobacteria; HMO utilization in bifidobacteria
Bifidobacterium breve CECT 7263	fig|1036735.3	fig|1036735.3.peg.1640	-	GH32(11-291)	GH32_e121	GH32	N	3	GH32	Putative beta-fructofuranosidase-1 (GH32)	Fructose and fructoside utilization in bifidobacteria
Bifidobacterium breve CECT 7263	fig|1036735.3	fig|1036735.3.peg.1642	-	GH31(203-632)	GH31_e77	GH31	N	3	GH31	Putative alpha-glucosidase-2 (GH31)	Alpha-glucoside utilization in bifidobacteria
Bifidobacterium breve CECT 7263	fig|1036735.3	fig|1036735.3.peg.1646	3.2.1.20:2	GH13_30(24-253)	GH13_e234	GH13_30	N	3	GH13_30	hypothetical protein	-
Bifidobacterium breve CECT 7263	fig|1036735.3	fig|1036735.3.peg.1655	-	GH172(87-347)	GH172_e0	GH172	N	3	GH172	FIG00629693: hypothetical protein	-
Bifidobacterium breve CECT 7263	fig|1036735.3	fig|1036735.3.peg.1689	-	CE9(12-397)	CE9_e95	CE9	N	3	CE9	N-acetylglucosamine-6-phosphate deacetylase involved in GlcNAc-6S utilization (EC 3.5.1.25)	N-Acetylglucosamine sulfate utilization in bifidobacteria
Bifidobacterium breve CECT 7263	fig|1036735.3	fig|1036735.3.peg.1708	-	GH13_20(49-332)	GH13_e155	GH13	N	3	GH13_20	Cytoplasmic alpha-amylase (EC 3.2.1.1)	Maltose and starch utilization in bifidobacteria
Bifidobacterium breve CECT 7263	fig|1036735.3	fig|1036735.3.peg.173	3.2.1.185:2	GH127(18-323)	GH127_e0	GH127	N	3	GH127	Beta-1,2-L-arabinofuranosidase (GH127)	Arabinose and arabinoside utilization in bifidobacteria
Bifidobacterium breve CECT 7263	fig|1036735.3	fig|1036735.3.peg.1785	3.2.1.49:1	GH129(3-627)	GH129_e0	GH129	N	3	GH129	Alpha-N-acetylgalactosaminidase (GH129)	O-glycan utilization in bifidobacteria
Bifidobacterium breve CECT 7263	fig|1036735.3	fig|1036735.3.peg.1817	3.2.1.21:6	GH3(81-313)	GH3_e91	GH3	N	3	GH3	Beta-glucosidase-2 (GH3)	Beta-glucoside utilization in bifidobacteria
Bifidobacterium breve CECT 7263	fig|1036735.3	fig|1036735.3.peg.1820	3.2.1.55:1|3.2.1.21:1|3.2.1.58:1	GH5_44(58-366)	GH5_e69	GH5_44	N	3	GH5_44	Putative flavonoid/ginsenoside glycoside hydrolase (GH5_44)	Beta-glucoside utilization in bifidobacteria
Bifidobacterium breve CECT 7263	fig|1036735.3	fig|1036735.3.peg.1827	3.2.1.21:22|3.2.1.-:4|3.2.1.37:1|3.2.1.55:1|3.2.1.23:1|3.2.1.45:1	GH3(32-252)	GH3_e197	GH3	N	3	GH3	Beta-glucosidase-1 (GH3)	Beta-glucoside utilization in bifidobacteria
Bifidobacterium breve CECT 7263	fig|1036735.3	fig|1036735.3.peg.1925	3.2.1.26:6	GH32(44-352)	GH32_e28	GH32	N	3	GH32	Beta-2,1/6-fructofuranosidase-2 (GH32)	Fructose and fructoside utilization in bifidobacteria
Bifidobacterium breve CECT 7263	fig|1036735.3	fig|1036735.3.peg.20	2.4.1.18:57|2.4.1.18:14	GH13_9(300-600)	CBM48_e2+GH13_e200	CBM48+GH13_9	N	3	GH13_9	1,4-alpha-glucan (glycogen) branching enzyme (GH13_9)	Maltose and starch utilization in bifidobacteria
Bifidobacterium breve CECT 7263	fig|1036735.3	fig|1036735.3.peg.212	-	GH13_3(316-534)	GH13_e41	GH13_3	N	3	GH13_3	Cytoplasmic alpha-amylase (EC 3.2.1.1)	Maltose and starch utilization in bifidobacteria
Bifidobacterium breve CECT 7263	fig|1036735.3	fig|1036735.3.peg.267	2.4.1.230:11	GH65(322-711)	GH65_e4	GH65	N	3	GH65	Kojibiose phosphorylase (EC 2.4.1.230)	-
Bifidobacterium breve CECT 7263	fig|1036735.3	fig|1036735.3.peg.270	3.2.1.23:41	GH2(35-908)	GH2_e92	GH2	N	3	GH2	Evolved beta-D-galactosidase, alpha subunit	-
Bifidobacterium breve CECT 7263	fig|1036735.3	fig|1036735.3.peg.308	3.2.1.21:4	GH1(6-387)	GH1_e38	GH1	N	3	GH1	Beta-glucosidase-2 (GH1)	Beta-glucoside utilization in bifidobacteria
Bifidobacterium breve CECT 7263	fig|1036735.3	fig|1036735.3.peg.313	2.4.1.25:4	GH77(189-699)	GH77_e2	GH77	N	3	GH77	4-alpha-glucanotransferase (amylomaltase)-2 (EC 2.4.1.25)	Maltose and starch utilization in bifidobacteria
Bifidobacterium breve CECT 7263	fig|1036735.3	fig|1036735.3.peg.316	3.2.1.68:75|2.4.1.25:4|3.2.1.-:1|3.2.1.68:15|3.2.1.-:1	GH13_11(230-598)	CBM48_e3+GH13_e48	CBM48+GH13_11	N	3	GH13_11	Putative glycogen debranching enzyme-2 (GH13_11)	Maltose and starch utilization in bifidobacteria
Bifidobacterium breve CECT 7263	fig|1036735.3	fig|1036735.3.peg.476	3.2.1.89:17|3.2.1.89:6	GH53(53-429)+CBM61(524-666)	GH53_e14+CBM61_e15	CBM61+GH53	Y(1-31)	3	GH53	Extracellular endo-beta-1,4/3-galactanase (GH53)	Beta-galactoside utilization in bifidobacteria
Bifidobacterium breve CECT 7263	fig|1036735.3	fig|1036735.3.peg.478	3.2.1.23:18	GH42(25-396)	GH42_e28	GH42	N	3	GH42	Beta-1,4-galactosidase (GH42)	Beta-galactoside utilization in bifidobacteria
Bifidobacterium breve CECT 7263	fig|1036735.3	fig|1036735.3.peg.49	-	GH3(4-192)	GH3_e11	GH3	N	3	GH3	beta-glycosyl hydrolase	-
Bifidobacterium breve CECT 7263	fig|1036735.3	fig|1036735.3.peg.557	-	GH23(301-428)	GH23_e87	GH23	N	3	GH23	N-acetylmuramoyl-L-alanine amidase, family 4	-
Bifidobacterium breve CECT 7263	fig|1036735.3	fig|1036735.3.peg.592	3.2.1.24:5	GH38(267-521)	GH38_e38	GH38	N	3	GH38	Alpha-1,2/3/6-mannosidase-1 (GH38)	N-glycan utilization in bifidobacteria
