seed_id	annotation
fig|630129.38.peg.2017	Alkaline phosphatase (EC 3.1.3.1)
fig|630129.38.peg.2016	Chaperone protein DnaK
fig|630129.38.peg.2015	Heat shock protein GrpE
fig|630129.38.peg.2014	Chaperone protein DnaJ
fig|630129.38.peg.2013	HspR, transcriptional repressor of DnaK operon
fig|630129.38.peg.2012	hypothetical protein
fig|630129.38.peg.2011	HAD-superfamily hydrolase, subfamily IA, variant 3
fig|630129.38.peg.2010	hypothetical protein
fig|630129.38.peg.2009	DNA-cytosine methyltransferase (EC 2.1.1.37)
fig|630129.38.peg.2008	hypothetical protein
fig|630129.38.peg.2007	hypothetical protein
fig|630129.38.peg.2006	hypothetical protein
fig|630129.38.peg.2005	DedA protein
fig|630129.38.peg.2004	hypothetical protein
fig|630129.38.peg.2003	Transcriptional regulator, LacI family
fig|630129.38.peg.2002	Transcriptional regulator, LacI family
fig|630129.38.peg.2001	hypothetical protein
fig|630129.38.peg.2000	hypothetical protein
fig|630129.38.peg.1999	Putative xyloglucan oligosaccharide ABC transporter-2 permease component 1 (TC 3.A.1.1)
fig|630129.38.peg.1998	Putative xyloglucan oligosaccharide ABC transporter-2 permease component 2 (TC 3.A.1.1)
fig|630129.38.peg.1997	Putative xyloglucan oligosaccharide ABC transporter-2 substrate-binding component (TC 3.A.1.1)
fig|630129.38.peg.1996	Putative xgl-cluster xyloglucan acetylesterase
fig|630129.38.peg.1995	Putative xgl-cluster alpha-L-fucosidase (GH29)
fig|630129.38.peg.1994	Putative xgl-cluster beta-glucosidase (GH3)
fig|630129.38.peg.1993	Putative xgl-cluster alpha-xylosidase (GH31)
fig|630129.38.peg.1992	hypothetical protein
fig|630129.38.peg.1991	Putative xgl-cluster extracellular endo-beta-1,4-glucanase (GH5_4)
fig|630129.38.peg.1990	Putative xgl-cluster endo-beta-1,4-glucanase (GH5_4)
fig|630129.38.peg.1989	Putative xgl-cluster alpha-L-arabinofuranosidase (GH43_12)
fig|630129.38.peg.1988	Putative xgl-cluster beta-galactosidase (GH42)
fig|630129.38.peg.1987	Putative xgl-cluster beta-glucoside kinase (EC 2.7.1.85)
fig|630129.38.peg.1986	hypothetical protein
fig|630129.38.peg.1985	hypothetical protein
fig|630129.38.peg.1984	Gamma-aminobutyrate:alpha-ketoglutarate aminotransferase (EC 2.6.1.19)
fig|630129.38.peg.1983	NAD-dependent 4-hydroxybutyrate dehydrogenase (EC 1.1.1.61)
fig|630129.38.peg.1982	NAD-dependent 4-hydroxybutyrate dehydrogenase (EC 1.1.1.61)
fig|630129.38.peg.1981	Thiaminase II (EC 3.5.99.2) involved in salvage of thiamin pyrimidine moiety # contains 2xCys and Glu
fig|630129.38.peg.1980	Putative transcriptional regulator of xyloglucan oligosaccharide utilization (TetR family)
fig|630129.38.peg.1979	Transcriptional regulator, LacI family
fig|630129.38.peg.1978	hypothetical protein
fig|630129.38.peg.1977	hypothetical protein
fig|630129.38.peg.1976	hypothetical protein
fig|630129.38.peg.1975	hypothetical protein
fig|630129.38.peg.1974	Putative xyloglucan acetylesterase
fig|630129.38.peg.1973	Putative xyloglucan acetylesterase
fig|630129.38.peg.1972	Cellobiose phosphorylase (EC 2.4.1.20)
fig|630129.38.peg.1971	hypothetical protein
fig|630129.38.peg.1970	hypothetical protein
fig|630129.38.peg.1969	hypothetical protein
fig|630129.38.peg.1968	Protein-O-mannosyltransferase
fig|630129.38.peg.1967	Protein-O-mannosyltransferase
fig|630129.38.peg.1966	Protein-O-mannosyltransferase
fig|630129.38.peg.1965	Protein-O-mannosyltransferase
fig|630129.38.peg.1964	Protein-O-mannosyltransferase
fig|630129.38.peg.1963	Protein-O-mannosyltransferase
fig|630129.38.peg.1962	16S rRNA (cytidine(1402)-2'-O)-methyltransferase (EC 2.1.1.198)
fig|630129.38.peg.1961	hypothetical protein
fig|630129.38.peg.1960	hypothetical protein
fig|630129.38.peg.1959	Methionyl-tRNA synthetase (EC 6.1.1.10)
fig|630129.38.peg.1958	Putative beta-galactosidase (GH2)
fig|630129.38.peg.1957	hypothetical protein
fig|630129.38.peg.1956	Thiaminase II (EC 3.5.99.2) involved in salvage of thiamin pyrimidine moiety
fig|630129.38.peg.1955	Transcriptional regulator of LNB/GNB and HMO utilization (ROK family)
fig|630129.38.peg.1954	Putative N-acetylglucosamine kinase (EC 2.7.1.59)
fig|630129.38.peg.1953	Beta-1,3/4/6-N-acetylglucosaminidase-2 (GH20)
fig|630129.38.peg.1952	Glucosamine-6-phosphate deaminase (EC 3.5.99.6)
fig|630129.38.peg.1951	N-acetylglucosamine-6-phosphate deacetylase (EC 3.5.1.25)
fig|630129.38.peg.1950	Transcriptional regulator, LacI family
fig|630129.38.peg.1949	Sensory box/GGDEF family protein
fig|630129.38.peg.1948	GH18-family glycosyl hydrolase, related to Chitinases and Endo-beta-N-acetylglucosaminidases
fig|630129.38.peg.1947	Glycosyltransferase
fig|630129.38.peg.1946	Transcriptional regulator, LacI family
fig|630129.38.peg.1945	ABC transporter, substrate-binding protein (cluster 1, maltose/g3p/polyamine/iron)
fig|630129.38.peg.1944	Multiple sugar ABC transporter, permease protein MsmF
fig|630129.38.peg.1943	ABC transporter, permease protein 2 (cluster 1, maltose/g3p/polyamine/iron)
fig|630129.38.peg.1942	hypothetical protein
fig|630129.38.peg.1941	hypothetical protein
fig|630129.38.peg.1940	hypothetical protein
fig|630129.38.peg.1939	hypothetical protein
fig|630129.38.peg.1938	Heterodimeric efflux ABC transporter, permease/ATP-binding subunit 1
fig|630129.38.peg.1937	Heterodimeric efflux ABC transporter, permease/ATP-binding subunit 2
fig|630129.38.peg.1936	hypothetical protein
fig|630129.38.peg.1935	hypothetical protein
fig|630129.38.peg.1934	Putative beta-L-arabinofuranosidase (GH127)
fig|630129.38.peg.1933	hypothetical protein
fig|630129.38.peg.1932	Beta-L-arabinopyranosidase (GH36)
fig|630129.38.peg.1931	Beta-L-arabinopyranosidase (GH36)
fig|630129.38.peg.1930	hypothetical protein
fig|630129.38.peg.1929	Transcriptional regulator, LacI family
fig|630129.38.peg.1928	Predicted kinase
fig|630129.38.peg.1927	ABC transport system, ATP-binding protein
fig|630129.38.peg.1926	ABC transport system, permease protein
fig|630129.38.peg.1925	ABC transport system, sugar-binding protein
fig|630129.38.peg.1924	hypothetical protein
fig|630129.38.peg.1923	Beta-xylosidase (GH43_22)
fig|630129.38.peg.1922	Putative transcriptional regulator of beta-L-arabinopyranosidase (LacI family)
fig|630129.38.peg.1921	Beta-L-arabinopyranosidase (GH27)
fig|630129.38.peg.1920	Alpha-1,2/3/5-L-arabinofuranosidase (GH51)
fig|630129.38.peg.1919	Uncharacterized metal-dependent hydrolase YcfH
fig|630129.38.peg.1918	Kup system potassium uptake protein
fig|630129.38.peg.1917	Predicted glutamine amidotransferase
fig|630129.38.peg.1916	hypothetical protein
fig|630129.38.peg.1915	hypothetical protein
fig|630129.38.peg.1914	ABC-type antimicrobial peptide transport system, permease component
fig|630129.38.peg.1913	hypothetical protein
fig|630129.38.peg.1912	hypothetical protein
fig|630129.38.peg.1911	hypothetical protein
fig|630129.38.peg.1910	DNA integration/recombination/inversion protein
fig|630129.38.peg.1909	DNA integration/recombination/inversion protein
fig|630129.38.peg.1908	DNA integration/recombination/inversion protein
fig|630129.38.peg.1907	DNA integration/recombination/inversion protein
fig|630129.38.peg.1906	hypothetical protein
fig|630129.38.peg.1905	hypothetical protein
fig|630129.38.peg.1904	TnpY-like protein
fig|630129.38.peg.1903	TnpY-like protein
fig|630129.38.peg.1902	TnpY-like protein
fig|630129.38.peg.1901	hypothetical protein
fig|630129.38.peg.1900	hypothetical protein
fig|630129.38.peg.1899	Modification methylase
fig|630129.38.peg.1898	hypothetical protein
fig|630129.38.peg.1897	hypothetical protein
fig|630129.38.peg.1896	Type II restriction-modification system restriction subunit
fig|630129.38.peg.1895	hypothetical protein
fig|630129.38.peg.1894	hypothetical protein
fig|630129.38.peg.1893	hypothetical protein
fig|630129.38.peg.1892	Sialic acid-specific 9-O-acetylesterase
fig|630129.38.peg.1891	hypothetical protein
fig|630129.38.peg.1890	hypothetical protein
fig|630129.38.peg.1889	Cell wall-associated murein hydrolase LytC
fig|630129.38.peg.1888	Putative glycosyltransferase
fig|630129.38.peg.1887	Putative membrane-spanning protein
fig|630129.38.peg.1886	dTDP-glucose 4,6-dehydratase (EC 4.2.1.46)
fig|630129.38.peg.1885	dTDP-4-dehydrorhamnose 3,5-epimerase (EC 5.1.3.13) / dTDP-4-dehydrorhamnose reductase (EC 1.1.1.133)
fig|630129.38.peg.1884	Glucose-1-phosphate thymidylyltransferase (EC 2.7.7.24)
fig|630129.38.peg.1883	Glycosyltransferase
fig|630129.38.peg.1882	O-antigen export system, permease protein
fig|630129.38.peg.1881	ABC-transporter (ATP-binding protein) -possibly involved in cell wall localization and side chain formation of rhamnose-glucose polysaccharide
fig|630129.38.peg.1880	Alpha-L-Rha alpha-1,2-L-rhamnosyltransferase/alpha-L-Rha alpha-1,3-L- rhamnosyltransferase (EC 2.4.1.-)
fig|630129.38.peg.1879	Mobile element protein
fig|630129.38.peg.1878	Mobile element protein
fig|630129.38.peg.1877	hypothetical protein
fig|630129.38.peg.1876	hypothetical protein
fig|630129.38.peg.1875	hypothetical protein
fig|630129.38.peg.1874	hypothetical protein
fig|630129.38.peg.1873	hypothetical protein
fig|630129.38.peg.1872	hypothetical protein
fig|630129.38.peg.1871	FIG00424011: hypothetical protein
fig|630129.38.peg.1870	hypothetical protein
fig|630129.38.peg.1869	hypothetical protein
fig|630129.38.peg.1868	Mobile element protein
fig|630129.38.peg.1867	Putative glycosyltransferase
fig|630129.38.peg.1866	UDP-glucose 6-dehydrogenase (EC 1.1.1.22)
fig|630129.38.peg.1865	Mobile element protein
fig|630129.38.peg.1864	UDP-glucose 6-dehydrogenase (EC 1.1.1.22)
fig|630129.38.peg.1863	UDP-glucose 6-dehydrogenase (EC 1.1.1.22)
fig|630129.38.peg.1862	hypothetical protein
fig|630129.38.peg.1861	Predicted ATPase (AAA+ superfamily)
fig|630129.38.peg.1860	hypothetical protein
fig|630129.38.peg.1859	hypothetical protein
fig|630129.38.peg.1858	hypothetical protein
fig|630129.38.peg.1857	hypothetical protein
fig|630129.38.peg.1856	hypothetical protein
fig|630129.38.peg.1855	hypothetical protein
fig|630129.38.peg.1854	Programmed cell death toxin MazF
fig|630129.38.peg.1853	dTDP-glucose 4,6-dehydratase (EC 4.2.1.46)
fig|630129.38.peg.1852	ATPase component BioM of energizing module of biotin ECF transporter
fig|630129.38.peg.1851	Transcriptional regulator, LacI family
fig|630129.38.peg.1850	Inosine-uridine preferring nucleoside hydrolase (EC 3.2.2.1)
fig|630129.38.peg.1849	Ribokinase (EC 2.7.1.15)
fig|630129.38.peg.1848	hypothetical protein
fig|630129.38.peg.1847	Ribose-phosphate pyrophosphokinase (EC 2.7.6.1)
fig|630129.38.peg.1846	SSU ribosomal protein S6p
fig|630129.38.peg.1845	Single-stranded DNA-binding protein
fig|630129.38.peg.1844	SSU ribosomal protein S18p @ SSU ribosomal protein S18p, zinc-independent
fig|630129.38.peg.1843	LSU ribosomal protein L9p
fig|630129.38.peg.1842	Zonadhesin precursor
fig|630129.38.peg.1841	Transposase and inactivated derivatives
fig|630129.38.peg.1840	hypothetical protein
fig|630129.38.peg.1839	ABC transporter, ATP-binding protein
fig|630129.38.peg.1838	hypothetical protein
fig|630129.38.peg.1837	Two-component transcriptional response regulator, LuxR family
fig|630129.38.peg.1836	hypothetical protein
fig|630129.38.peg.1835	Uncharacterized MFS-type transporter
fig|630129.38.peg.1834	Uncharacterized MFS-type transporter
fig|630129.38.peg.1833	Mobile element protein
fig|630129.38.peg.1832	Putative Fuc(a1-6)GlcNAc-peptide MFS permease (TC 2.A.1.68)
fig|630129.38.peg.1831	Alpha-1,6-L-fucosidase (GH29)
fig|630129.38.peg.1830	hypothetical protein
fig|630129.38.peg.1829	hypothetical protein
fig|630129.38.peg.1828	Glycerol uptake facilitator protein
fig|630129.38.peg.1827	Glutamyl-Q tRNA(Asp) synthetase
fig|630129.38.peg.1826	transposase
fig|630129.38.peg.1825	Pyridoxal phosphate-containing protein YggS
fig|630129.38.peg.1824	Fumarylacetoacetate hydrolase family protein
fig|630129.38.peg.1823	Chaperone protein ClpB (ATP-dependent unfoldase)
fig|630129.38.peg.1822	Lead, cadmium, zinc and mercury transporting ATPase (EC 3.6.3.3) (EC 3.6.3.5); Copper-translocating P-type ATPase (EC 3.6.3.4)
fig|630129.38.peg.1821	hypothetical protein
fig|630129.38.peg.1820	hypothetical protein
fig|630129.38.peg.1819	DNA recombination protein RmuC
fig|630129.38.peg.1818	hypothetical protein
fig|630129.38.peg.1817	rRNA methylases
fig|630129.38.peg.1816	Aspartyl-tRNA(Asn) amidotransferase subunit C (EC 6.3.5.6) / Glutamyl-tRNA(Gln) amidotransferase subunit C (EC 6.3.5.7)
fig|630129.38.peg.1815	Glutamyl-tRNA(Gln) amidotransferase subunit A (EC 6.3.5.7) / Aspartyl-tRNA(Asn) amidotransferase subunit A (EC 6.3.5.6)
fig|630129.38.peg.1814	Glutamyl-tRNA(Gln) amidotransferase subunit B (EC 6.3.5.7) / Aspartyl-tRNA(Asn) amidotransferase subunit B (EC 6.3.5.6)
fig|630129.38.peg.1813	Acetyltransferase
fig|630129.38.peg.1812	Protein often found in Actinomycetes clustered with signal peptidase and/or RNaseHII
fig|630129.38.peg.1811	Protoporphyrinogen oxidase
fig|630129.38.peg.1810	Transcription termination factor Rho
fig|630129.38.peg.1809	Transcriptional regulator, AsnC family
fig|630129.38.peg.1808	Chorismate mutase I (EC 5.4.99.5)
fig|630129.38.peg.1807	hypothetical protein
fig|630129.38.peg.1806	hypothetical protein
fig|630129.38.peg.1805	Valyl-tRNA synthetase (EC 6.1.1.9)
fig|630129.38.peg.1804	ABC transporter, substrate-binding protein (cluster 5, nickel/peptides/opines)
fig|630129.38.peg.1803	Endonuclease III (EC 4.2.99.18)
fig|630129.38.peg.1802	Nitrogen metabolism regulator GlnR, OmpR family
fig|630129.38.peg.1801	hypothetical protein
fig|630129.38.peg.1800	Putative manganese efflux pump MntP
fig|630129.38.peg.1799	Inorganic pyrophosphatase (EC 3.6.1.1)
fig|630129.38.peg.1798	Cytoplasmic alpha-amylase (EC 3.2.1.1)
fig|630129.38.peg.1797	hypothetical protein
fig|630129.38.peg.1796	Homoserine O-succinyltransferase (EC 2.3.1.46)
fig|630129.38.peg.1795	ATP synthase F0 sector subunit a (EC 3.6.3.14)
fig|630129.38.peg.1794	ATP synthase F0 sector subunit c (EC 3.6.3.14)
fig|630129.38.peg.1793	ATP synthase F0 sector subunit b (EC 3.6.3.14)
fig|630129.38.peg.1792	ATP synthase delta chain (EC 3.6.3.14)
fig|630129.38.peg.1791	ATP synthase alpha chain (EC 3.6.3.14)
fig|630129.38.peg.1790	ATP synthase gamma chain (EC 3.6.3.14)
fig|630129.38.peg.1789	ATP synthase beta chain (EC 3.6.3.14)
fig|630129.38.peg.1788	ATP synthase epsilon chain (EC 3.6.3.14)
fig|630129.38.peg.1787	Endonuclease NucS
fig|630129.38.peg.1786	possible secreted peptidyl-prolyl cis-trans isomerase protein
fig|630129.38.peg.1785	hypothetical protein
fig|630129.38.peg.1784	hypothetical protein
fig|630129.38.peg.1783	FIG000875: Thioredoxin domain-containing protein EC-YbbN
fig|630129.38.peg.1782	narrowly conserved hypothetical protein
fig|630129.38.peg.1781	RidA/YER057c/UK114 superfamily protein
fig|630129.38.peg.1780	Arginine permease RocE
fig|630129.38.peg.1779	Arginyl-tRNA synthetase (EC 6.1.1.19)
fig|630129.38.peg.1778	Diaminopimelate decarboxylase (EC 4.1.1.20)
fig|630129.38.peg.1777	Homoserine dehydrogenase (EC 1.1.1.3)
fig|630129.38.peg.1776	Homoserine kinase (EC 2.7.1.39)
fig|630129.38.peg.1775	Septum formation protein Maf
fig|630129.38.peg.1774	Transcriptional regulator of arabinose utilization and central carbohydrate metabolism (LacI family)
fig|630129.38.peg.1773	Ribulokinase (EC 2.7.1.16)
fig|630129.38.peg.1772	L-ribulose-5-phosphate 4-epimerase (EC 5.1.3.4)
fig|630129.38.peg.1771	L-arabinose isomerase (EC 5.3.1.4)
fig|630129.38.peg.1770	Long-chain-fatty-acid--CoA ligase (EC 6.2.1.3)
fig|630129.38.peg.1769	hypothetical protein
fig|630129.38.peg.1768	Heterodimeric efflux ABC transporter, permease/ATP-binding subunit 1 / Heterodimeric efflux ABC transporter, permease/ATP-binding subunit 2
fig|630129.38.peg.1767	hypothetical protein
fig|630129.38.peg.1766	Pyridoxal 5'-phosphate synthase (glutamine hydrolyzing), synthase subunit (EC 4.3.3.6)
fig|630129.38.peg.1765	Pyridoxal 5'-phosphate synthase (glutamine hydrolyzing), glutaminase subunit (EC 4.3.3.6)
fig|630129.38.peg.1764	hypothetical protein
fig|630129.38.peg.1763	Beta-1,4-galactosidase (GH42)
fig|630129.38.peg.1762	Transcriptional regulator of beta-1,4-linked galactooligosaccharide utilization (LacI family)
fig|630129.38.peg.1761	putative secreted protein
fig|630129.38.peg.1760	dehydrogenase or reductase protein( EC:1.1.1.274 )
fig|630129.38.peg.1759	Manganese transport protein MntH
fig|630129.38.peg.1758	Uncharacterized MFS-type transporter
fig|630129.38.peg.1757	hypothetical protein
fig|630129.38.peg.1756	hypothetical protein
fig|630129.38.peg.1755	Conserved membrane spanning protein with endonuclease/exonuclease/phosphatase domain
fig|630129.38.peg.1754	Low molecular weight protein-tyrosine-phosphatase (EC 3.1.3.48)
fig|630129.38.peg.1753	hypothetical protein
fig|630129.38.peg.1752	Tyrosine-protein kinase (EC 2.7.10.2)
fig|630129.38.peg.1751	hypothetical protein
fig|630129.38.peg.1750	hypothetical protein
fig|630129.38.peg.1749	hypothetical protein
fig|630129.38.peg.1748	Mobile element protein
fig|630129.38.peg.1747	Alpha-D-GlcNAc alpha-1,2-L-rhamnosyltransferase (EC 2.4.1.-)
fig|630129.38.peg.1746	hypothetical protein
fig|630129.38.peg.1745	Galactoside O-acetyltransferase (EC 2.3.1.18)
fig|630129.38.peg.1744	hypothetical protein
