mcSEED_subsystem	name	alt_names	annotation	dupl_subsystem	dupl_homolog	phenotype	pathway	type	classification	additional_classification	function	regulon	evidence	PMID	example_id_mcSEED	example_locus_tag	additional_info
Galactose utilization	Pgm	NA	Phosphoglucomutase (EC 5.4.2.2)	d	NA	Gal	D-galactose utilization	downstream_catabolism	EC 5.4.2.2	NA	Converts D-glucose-1-phosphate to D-glucose-6-phosphate	NA	predicted	NA	fig|326426.4.peg.1714	Bbr_1595	58% seq. identity with characterized phosphoglucomutase from Mycobacterium tuberculosis (PMID: 22809717)
Galactose utilization	GalP	NA	Galactose MFS permease (TC 2.A.1.1.42)	NA	NA	Gal	D-galactose utilization	transporter	TC 2.A.1.1.42	MFS Superfamily; Sugar Porter (SP) Family	Transports D-galactose (based on the inhibition of glucose transport data)	NA	characterized	16452407	fig|206672.9.peg.1685	BL1631	NA
Galactose utilization	GalS	NA	Putative galactose MFS permease (TC 2.A.2)	NA	NA	Gal	D-galactose utilization	transporter	TC 2.A.2	MFS Superfamily; Glycoside-Pentoside-Hexuronide (GPH):Cation Symporter Family	Predicted to transport D-galactose	LacR	predicted	NA	fig|326426.4.peg.1665	Bbr_1551	NA
Galactose utilization	SgaT	NA	Putative galactose MFS permease (TC 2.A.21)	NA	NA	Gal	D-galactose utilization	transporter	TC 2.A.21	MFS Superfamily; Solute:Sodium Symporter (SSS) Family	Predicted to transport D-galactose	NA	predicted	NA	fig|391904.5.peg.1394	Blon_1383	NA
Galactose utilization	GalR	NA	Putative transcriptional regulator of galactose utilization (DeoR family)	NA	NA	Gal	D-galactose utilization	regulator	DeoR	NA	Predicted to regulate the expression of galK, galT, and galE	GalR	predicted	26903998	fig|326426.4.peg.534	Bbr_0490	NA
Galactose utilization	GalR2	NA	Putative transcriptional regulator of galactose utilization (LacI family)	NA	NA	Gal	D-galactose utilization	regulator	LacI	NA	Predicted to regulate the expression of galK, galT, and galE	GalR2	predicted	26903998	fig|518635.5.peg.403	BIFANG_02305	NA
Ribose utilization	RbsD	NA	D-ribose pyranase (EC 5.4.99.62)	NA	NA	Rib	D-ribose utilization	downstream_catabolism	EC 5.4.99.62	NA	Predicted to catalyze the interconversion between pyranose and furanose forms of D-ribose	RbsR	predicted	21255330	fig|326426.4.peg.1521	Bbr_1416	Gene in Bifidobacterium breve UCC2003 is upregulated on D-ribose (PMID: 21255330)
Ribose utilization	RbsK	NA	Ribokinase (EC 2.7.1.15)	NA	NA	Rib	D-ribose utilization	downstream_catabolism	EC 2.7.1.15	NA	Phosphorylates D‐ribose to D-ribose‐5‐phosphate	RbsR	characterized	21255330	fig|326426.4.peg.1520	Bbr_1415	Gene in Bifidobacterium breve UCC2003 is upregulated on D-ribose (PMID: 21255330)
Ribose utilization	RbsA	NA	Ribose ABC transport system, ATP-binding protein RbsA (TC 3.A.1.2.1)	NA	NA	Rib	D-ribose utilization	transporter	TC 3.A.1.2.1	ABC Superfamily; Carbohydrate Uptake Transporter-2 (CUT2) Family	Transports D-ribose	RbsR	characterized	21255330	fig|326426.4.peg.1524	Bbr_1419	Gene in Bifidobacterium breve UCC2003 is upregulated on D-ribose. Knockout of the gene abolishes the growth of Bifidobacterium breve UCC2003 on D-ribose (PMID: 21255330)
Ribose utilization	RbsB	NA	Ribose ABC transport system, periplasmic ribose-binding protein RbsB (TC 3.A.1.2.1)	NA	NA	Rib	D-ribose utilization	transporter	TC 3.A.1.2.1	ABC Superfamily; Carbohydrate Uptake Transporter-2 (CUT2) Family	Transports D-ribose	RbsR	characterized	21255330	fig|326426.4.peg.1522	Bbr_1417	Gene in Bifidobacterium breve UCC2003 is upregulated on D-ribose (PMID: 21255330)
Ribose utilization	RbsC	NA	Ribose ABC transport system, permease protein RbsC (TC 3.A.1.2.1)	NA	NA	Rib	D-ribose utilization	transporter	TC 3.A.1.2.1	ABC Superfamily; Carbohydrate Uptake Transporter-2 (CUT2) Family	Transports D-ribose	RbsR	characterized	21255330	fig|326426.4.peg.1523	Bbr_1418	Gene in Bifidobacterium breve UCC2003 is upregulated on D-ribose (PMID: 21255330)
Ribose utilization	FruE	NA	Fructose/xylose/ribose ABC transporter substrate-binding component (TC 3.A.1.2.23)	d	NA	Fru;Xyl;Rib;Ara	D-fructose utilization;D-xylose utilization;D-ribose utilization; L-arabinose utilization	transporter	TC 3.A.1.2.23	ABC Superfamily; Carbohydrate Uptake Transporter-2 (CUT2) Family	Transports D-fructose, D-xylose, and D-ribose (fructose is the preferred substrate). Predicted to transport L-arabinose	NA	characterized	22102285	fig|206672.9.peg.35	BL0033	Gene in Bifidobacterium longum subsp. longum NCC2705 is upregulated on D-fructose, D-ribose, and D-xylose (PMID: 22102285). Gene in Bifidobacterium longum subsp. longum NCIMB8809 upregulated on arabinose and arabinoxylan (PMID: 38752423)
Ribose utilization	FruF	NA	Fructose/xylose/ribose ABC transporter permease component 1 (TC 3.A.1.2.23)	d	NA	Fru;Xyl;Rib;Ara	D-fructose utilization;D-xylose utilization;D-ribose utilization; L-arabinose utilization	transporter	TC 3.A.1.2.23	ABC Superfamily; Carbohydrate Uptake Transporter-2 (CUT2) Family	Transports D-fructose, D-xylose, and D-ribose (fructose is the preferred substrate). Predicted to transport L-arabinose	NA	characterized	22102285	fig|206672.9.peg.37	BL0035	Gene in Bifidobacterium longum subsp. longum NCC2705 is upregulated on D-fructose, D-ribose, and D-xylose (PMID: 22102285). Gene in Bifidobacterium longum subsp. longum NCIMB8809 upregulated on arabinose and arabinoxylan (PMID: 38752423)
Ribose utilization	FruG	NA	Fructose/xylose/ribose ABC transporter permease component 2 (TC 3.A.1.2.23)	d	NA	Fru;Xyl;Rib;Ara	D-fructose utilization;D-xylose utilization;D-ribose utilization; L-arabinose utilization	transporter	TC 3.A.1.2.23	ABC Superfamily; Carbohydrate Uptake Transporter-2 (CUT2) Family	Transports D-fructose, D-xylose, and D-ribose (fructose is the preferred substrate). Predicted to transport L-arabinose	NA	characterized	22102285	fig|206672.9.peg.38	BL0036	Gene in Bifidobacterium longum subsp. longum NCC2705 is upregulated on D-fructose, D-ribose, and D-xylose (PMID: 22102285). Gene in Bifidobacterium longum subsp. longum NCIMB8809 upregulated on arabinose and arabinoxylan (PMID: 38752423)
Ribose utilization	FruK	NA	Fructose/xylose/ribose ABC transporter ATP-binding component (TC 3.A.1.2.23)	d	NA	Fru;Xyl;Rib;Ara	D-fructose utilization;D-xylose utilization;D-ribose utilization; L-arabinose utilization	transporter	TC 3.A.1.2.23	ABC Superfamily; Carbohydrate Uptake Transporter-2 (CUT2) Family	Transports D-fructose, D-xylose, and D-ribose (fructose is the preferred substrate). Predicted to transport L-arabinose	NA	characterized	22102285	fig|206672.9.peg.36	BL0034	Gene in Bifidobacterium longum subsp. longum NCC2705 is upregulated on D-fructose, D-ribose, and D-xylose (PMID: 22102285). Gene in Bifidobacterium longum subsp. longum NCIMB8809 upregulated on arabinose and arabinoxylan (PMID: 38752423)
Ribose utilization	RbsR	NA	Transcriptional regulator of ribose utilization (LacI family)	NA	NA	Rib	D-ribose utilization	regulator	LacI	NA	Represses rbsACBDK. Transcriptional effector: D-ribose	NA	characterized	21255330	fig|326426.4.peg.1525	Bbr_1420	Gene in Bifidobacterium breve UCC2003 is downregulated on ribose (PMID: 21255330)
N-acetylglucosamine utilization	NagEa	NagE	PTS system, N-acetylglucosamine-specific IIA component (EC 2.7.1.69)	NA	NA	GlcNAc	N-acetylglucosamine utilization	transporter	TC 4.A.1	PTS-GFL Superfamily; Glucose-Glucoside (Glc) Family	Predicted to transport N-acetylglucosamine (phosphorylation at the C-6 position)	NA	predicted	NA	fig|702459.3.peg.250	BBPR_0239	NA
N-acetylglucosamine utilization	NagEb	NagE	PTS system, N-acetylglucosamine-specific IIB component (EC 2.7.1.69)	NA	NA	GlcNAc	N-acetylglucosamine utilization	transporter	TC 4.A.1	PTS-GFL Superfamily; Glucose-Glucoside (Glc) Family	Predicted to transport N-acetylglucosamine (phosphorylation at the C-6 position)	NA	predicted	NA	fig|702459.3.peg.251	BBPR_0240	Gene in Bifidobacterium bifidum PRL2010 is upregulated on FOS, mucin, N-acetylglucosamine (PMID: 22562993)
N-acetylglucosamine utilization	NagEc	NagE	PTS system, N-acetylglucosamine-specific IIC component (EC 2.7.1.69)	NA	NA	GlcNAc	N-acetylglucosamine utilization	transporter	TC 4.A.1	PTS-GFL Superfamily; Glucose-Glucoside (Glc) Family	Predicted to transport N-acetylglucosamine (phosphorylation at the C-6 position)	NA	predicted	NA	fig|702459.3.peg.251	BBPR_0240	Gene in Bifidobacterium bifidum PRL2010 is upregulated on FOS, mucin, N-acetylglucosamine (PMID: 22562993)
N-acetylglucosamine utilization	NagE2a	NA	N-acetylglucosamine-specific PTS system-2 IIA component (TC 4.A.1)	NA	NA	GlcNAc	N-acetylglucosamine utilization	transporter	TC 4.A.1	PTS-GFL Superfamily; Glucose-Glucoside (Glc) Family	Predicted to transport N-acetylglucosamine (phosphorylation at the C-6 position)	NA	predicted	NA	fig|326426.4.peg.2024	Bbr_1879	Gene in Bifidobacterium breve UCC2003 is upregulated during co-cultivation with Bifidobacterium bifidum in a mucin-supplemented medium (PMID: 25420416)
N-acetylglucosamine utilization	NagE2b	NA	N-acetylglucosamine-specific PTS system-2 IIB component (TC 4.A.1)	NA	NA	GlcNAc	N-acetylglucosamine utilization	transporter	TC 4.A.1	PTS-GFL Superfamily; Glucose-Glucoside (Glc) Family	Predicted to transport N-acetylglucosamine (phosphorylation at the C-6 position)	NA	predicted	NA	fig|326426.4.peg.2025	Bbr_1880	Gene in Bifidobacterium breve UCC2003 is upregulated during co-cultivation with Bifidobacterium bifidum in a mucin-supplemented medium (PMID: 25420416)
N-acetylglucosamine utilization	NagE2c	NA	N-acetylglucosamine-specific PTS system-2 IIC component (TC 4.A.1)	NA	NA	GlcNAc	N-acetylglucosamine utilization	transporter	TC 4.A.1	PTS-GFL Superfamily; Glucose-Glucoside (Glc) Family	Predicted to transport N-acetylglucosamine (phosphorylation at the C-6 position)	NA	predicted	NA	fig|326426.4.peg.2025	Bbr_1880	Gene in Bifidobacterium breve UCC2003 is upregulated during co-cultivation with Bifidobacterium bifidum in a mucin-supplemented medium (PMID: 25420416)
N-acetylglucosamine utilization	NagK	Blon_0879	Putative N-acetylglucosamine kinase (EC 2.7.1.59)	d	NA	GlcNAc	N-acetylglucosamine utilization	downstream_catabolism	EC 2.7.1.59	NA	Predicted to phosphorylate N-acetylglucosamine to N-acetylglucosamine-6-phosphate	NagR	predicted	NA	fig|391904.5.peg.882	Blon_0879	Gene in Bifidobacterium longum subsp. infantis ATCC15697 is upregulated on LNT, LNnT, and HMO mixture (PMIDs: 26337101; 29900174; 36094076)
N-acetylglucosamine utilization	NagA	Blon_0882	N-acetylglucosamine-6-phosphate deacetylase (EC 3.5.1.25)	d	NA	GlcNAc;ManNAc;Neu5Ac	N-acetylglucosamine utilization;N-acetylmannosamine utilization;N-acetylneuraminic acid utilization	downstream_catabolism	EC 3.5.1.25;CE9	NA	Converts N-acetylglucosamine-6-phosphate to D-glucosamine-6-phosphate	NagR	characterized	24814790	fig|391904.5.peg.885	Blon_0882	Gene in Bifidobacterium longum subsp. infantis ATCC15697 is upregulated on LNT, LNnT, and HMO mixture (PMIDs: 26337101; 29900174; 36094076)
N-acetylglucosamine utilization	NagB	Blon_0881	Glucosamine-6-phosphate deaminase (EC 3.5.99.6)	d	NA	GlcNAc;ManNAc;Neu5Ac	N-acetylglucosamine utilization;N-acetylmannosamine utilization;N-acetylneuraminic acid utilization	downstream_catabolism	EC 3.5.99.6	NA	Converts D-glucosamine-6-phosphate to D-fructose-6-phosphate	NagR	characterized	24814790	fig|391904.5.peg.884	Blon_0881	Gene in Bifidobacterium longum subsp. infantis ATCC15697 is upregulated on LNT, LNnT, and HMO mixture (PMIDs: 26337101; 29900174; 36094076)
N-acetylglucosamine utilization	ChiX	NA	Putative diacetylchitobiose ABC transporter substrate-binding component (TC 3.A.1.1)	NA	NA	Chb	Diacetylchitobiose utilization	transporter	TC 3.A.1.1	ABC Superfamily; Carbohydrate Uptake Transporter-1 (CUT1) Family	Predicted to transport diacetylchitobiose	ChiR OR ChiR2 OR NagR	predicted	NA	fig|759350.3.peg.1404	BLJ_1420	34% seq. identity with characterized diacetylchitobiose binding protein DasA from Streptomyces coelicolor (PMID: 17351098)
N-acetylglucosamine utilization	ChiY	NA	Putative diacetylchitobiose ABC transporter permease component 1 (TC 3.A.1.1)	NA	NA	Chb	Diacetylchitobiose utilization	transporter	TC 3.A.1.1	ABC Superfamily; Carbohydrate Uptake Transporter-1 (CUT1) Family	Predicted to transport diacetylchitobiose	ChiR OR ChiR2 OR NagR	predicted	NA	fig|759350.3.peg.1403	BLJ_1419	NA
N-acetylglucosamine utilization	ChiZ	NA	Putative diacetylchitobiose ABC transporter permease component 2 (TC 3.A.1.1)	NA	NA	Chb	Diacetylchitobiose utilization	transporter	TC 3.A.1.1	ABC Superfamily; Carbohydrate Uptake Transporter-1 (CUT1) Family	Predicted to transport diacetylchitobiose	ChiR OR ChiR2 OR NagR	predicted	NA	fig|759350.3.peg.1402	BLJ_1418	NA
N-acetylglucosamine utilization	Hex1	Blon_0732	Beta-1,3/4/6-N-acetylglucosaminidase-1 (GH20)	d	NA	Chb;LNT;LNnT;Nglyc	Diacetylchitobiose utilization;LNT utilization;LNnT utilization;N-glycan utilization	CAZyme	GH20	intracellular	Releases terminal beta-1,3/4/6-linked GlcNAc residues from lacto-N-triose II, diacetylchitobiose, LNH-derived pentasaccharide	NA	characterized	22579845	fig|391904.5.peg.725	Blon_0732	NA
N-acetylglucosamine utilization	NahA	Blon_0459	Beta-1,3/4/6-N-acetylglucosaminidase-2 (GH20)	d	NA	Chb;LNT;LNnT;Nglyc	Diacetylchitobiose utilization;LNT utilization;LNnT utilization;N-glycan utilization	CAZyme	GH20	intracellular	Releases terminal beta-1,3/4/6-linked GlcNAc residues from lacto-N-triose II, diacetylchitobiose, LNH-derived pentasaccharide	NA	characterized	22579845;27929046	fig|326426.4.peg.1671	Blon_0459;Bbr_1556	Knockout of the gene abolishes the growth of Bifidobacterium breve UCC2003 on LNT/LNnT (PMID: 27929046)
N-acetylglucosamine utilization	ChiR	NA	Putative transcriptional regulator of diacetylchitobiose utilization (LacI family)	NA	NA	Chb	Diacetylchitobiose utilization	regulator	LacI	NA	Predicted to regulate the expression of genes involved in diacetylchitobiose utilization	ChiR	predicted_new	NA	fig|759350.3.peg.1405	BLJ_1421	NA
N-acetylglucosamine utilization	ChiR2	NA	Putative transcriptional regulator of diacetylchitobiose utilization (ROK family)	NA	NA	Chb	Diacetylchitobiose utilization	regulator	ROK	NA	Predicted to regulate the expression of genes involved in diacetylchitobiose utilization	ChiR2	predicted_new	NA	fig|1682.51.peg.759	NA	NA
Fucose and fucoside utilization	FumB	FucU	L-fucose mutarotase-1 (EC 5.1.3.29)	d	NA	Fuc	L-fucose utilization	downstream_catabolism	EC 5.1.3.29	NA	Converts alpha-L-fucopyranose to beta-L-fucopyranose	FumR	predicted	NA	fig|1679.217.peg.680	BLNG_01262	Gene in Bifidobacterium longum subsp. longum SC596 is upregulated on 2'FL, 3FL, HMO mixture (PMID: 27756904)
Fucose and fucoside utilization	FumC	FclA	L-fuco-beta-pyranose dehydrogenase-1 (EC 1.1.1.122)	d	NA	Fuc	L-fucose utilization	downstream_catabolism	EC 1.1.1.122	NA	Converts beta-L-fucopyranose to L-fuconolactone	FumR	predicted	NA	fig|1679.217.peg.677	BLNG_01259	54% seq. identity with characterized L-fucose dehydrogenase from Burkholderia multivorans (PMID: 23214453). Gene in Bifidobacterium longum subsp. longum SC596 is upregulated on 2'FL, 3FL, HMO mixture (PMID: 27756904)
Fucose and fucoside utilization	FumD	FclB	L-fuconolactone hydrolase-1 (EC 3.1.1.-)	d	NA	Fuc	L-fucose utilization	downstream_catabolism	EC 3.1.1.-	NA	Predicted to convert L-fuconolactone to L-fuconate	FumR	predicted	NA	fig|1679.217.peg.678	BLNG_01260	Gene in Bifidobacterium longum subsp. longum SC596 is upregulated on 2'FL, 3FL, HMO mixture (PMID: 27756904)
Fucose and fucoside utilization	FumE	FclC	L-fuconate dehydratase-1 (EC 4.2.1.68)	d	NA	Fuc	L-fucose utilization	downstream_catabolism	EC 4.2.1.68	NA	Converts L-fuconate to 2-keto-3-deoxy-L-fuconate	FumR	predicted	NA	fig|1679.217.peg.676	BLNG_01258	56% seq. identity with characterized L-fuconate dehydratase from Xanthomonas campestris pv. campestris (PMID: 17144652). Gene in Bifidobacterium longum subsp. longum SC596 is upregulated on 2'FL, 3FL, HMO mixture (PMID: 27756904)
Fucose and fucoside utilization	FumF	FclE	2-keto-3-deoxy-L-fuconate aldolase-1 (EC 4.1.2.18)	d	NA	Fuc	L-fucose utilization	downstream_catabolism	EC 4.1.2.18	NA	Predicted to cleave 2-keto-3-deoxy-L-fuconate to pyruvate and L-lactaldehyde	FumR	predicted	NA	fig|1679.217.peg.679	BLNG_01261	Gene in Bifidobacterium longum subsp. longum SC596 is upregulated on 2'FL, 3FL, HMO mixture (PMID: 27756904)
Fucose and fucoside utilization	FumB2	FucU	L-fucose mutarotase-2 (EC 5.1.3.29)	d	NA	Fuc	L-fucose utilization	downstream_catabolism	EC 5.1.3.29	NA	Converts alpha-L-fucopyranose to beta-L-fucopyranose	NA	predicted	NA	fig|391904.5.peg.2316	Blon_2305	NA
Fucose and fucoside utilization	FumC2	FclA2	L-fuco-beta-pyranose dehydrogenase-2 (EC 1.1.1.122)	d	NA	Fuc	L-fucose utilization	downstream_catabolism	EC 1.1.1.122	NA	Converts beta-L-fucopyranose to L-fuconolactone	FucR	predicted	NA	fig|326426.4.peg.1870	Bbr_1743	52% seq. identity with characterized L-fucose dehydrogenase from Burkholderia multivorans (PMID: 23214453)
Fucose and fucoside utilization	FumD2	FclB2	L-fuconolactone hydrolase-2 (EC 3.1.1.-)	d	NA	Fuc	L-fucose utilization	downstream_catabolism	EC 3.1.1.-	NA	Predicted to convert L-fuconolactone to L-fuconate	FucR	predicted	NA	fig|326426.4.peg.1868	Bbr_1741	NA
Fucose and fucoside utilization	FumE2	FclC2	L-fuconate dehydratase-2 (EC 4.2.1.68)	d	NA	Fuc	L-fucose utilization	downstream_catabolism	EC 4.2.1.68	NA	Converts L-fuconate to 2-keto-3-deoxy-L-fuconate	FucR	predicted	NA	fig|326426.4.peg.1872	Bbr_1744	54% seq. identity with characterized L-fuconate dehydratase from Xanthomonas campestris pv. campestris (PMID: 17144652)
Fucose and fucoside utilization	FumF2	FclE2	2-keto-3-deoxy-L-fuconate aldolase-2 (EC 4.1.2.18)	d	NA	Fuc	L-fucose utilization	downstream_catabolism	EC 4.1.2.18	NA	Predicted to cleave 2-keto-3-deoxy-L-fuconate to pyruvate and L-lactaldehyde	FucR	predicted	NA	fig|326426.4.peg.1867	Bbr_1740	NA
Fucose and fucoside utilization	FucP	FumP	Fucose MFS permease (TC 2.A.1.7)	NA	NA	Fuc	L-fucose utilization	transporter	TC 2.A.1.7	MFS Superfamily; Fucose: H+ Symporter (FHS) Family	Transports L-fucose	FucR	characterized	25420416;33460787	fig|326426.4.peg.1869	Bbr_1742	Knockout of the gene abolishes the growth of Bifidobacterium breve UCC2003 and Bifidobacterium longum subsp. infantis ATCC15697 on fucose (PMIDs: 25420416; 33460787)
Fucose and fucoside utilization	FucR	NA	Putative transcriptional regulator of fucose utilization (LacI family)	NA	NA	Fuc	L-fucose utilization	regulator	LacI	NA	Predicted to regulate the expression of fumC2, fumD2, fumE2, fumF2, and fucP. Predicted transcriptional effector: L-fucose	FucR	predicted	26903998	fig|326426.4.peg.1873	Bbr_1745	NA
Fucose and fucoside utilization	FucO	FumG	Lactaldehyde reductase (EC 1.1.1.77)	d	NA	Fuc	L-fucose utilization	downstream_catabolism	EC 1.1.1.77	NA	Converts L-lactaldehyde to 1,2-propanediol	NA	predicted	NA	fig|326426.4.peg.1611	Bbr_1505	57% seq. identity with characterized lactaldehyde reductase from Escherichia coli (PMID: 15995211)
Sialic acid utilization	NanA	NA	N-acetylneuraminate lyase (EC 4.1.3.3)	d	NA	Neu5Ac	N-acetylneuraminic acid utilization	downstream_catabolism	EC 4.1.3.3	NA	Cleaves N-acetylneuraminic acid to N-acetylmannosamine and pyruvate	NanR or NanR2	characterized	24814790	fig|326426.4.peg.181	Bbr_0168	Gene in Bifidobacterium breve UCC2003 is upregulated on Neu5Ac. Knockout of the gene abolishes the growth of Bifidobacterium breve UCC2003 on Neu5Ac (PMID: 24814790)
Sialic acid utilization	NanK	NA	N-acetylmannosamine kinase (EC 2.7.1.60)	d	NA	ManNAc;Neu5Ac	N-acetylmannosamine utilization;N-acetylneuraminic acid utilization	downstream_catabolism	EC 2.7.1.60	NA	Phosphorylates N-acetylmannosamine to N-acetylmannosamine-6-phosphate	NanR or NanR2	characterized	24814790	fig|326426.4.peg.174	Bbr_0161	Gene in Bifidobacterium breve UCC2003 is upregulated on Neu5Ac. Knockout of the gene abolishes the growth of Bifidobacterium breve UCC2003 on Neu5Ac (PMID: 24814790)
Sialic acid utilization	NanE	NA	N-acetylmannosamine-6-phosphate 2-epimerase (EC 5.1.3.9)	d	NA	ManNAc;Neu5Ac	N-acetylmannosamine utilization;N-acetylneuraminic acid utilization	downstream_catabolism	EC 5.1.3.9	NA	Converts N-acetylmannosamine-6-phosphate to N-acetylglucosamine-6-phosphate	NanR or NanR2	characterized	24814790	fig|326426.4.peg.175	Bbr_0162	Gene in Bifidobacterium breve UCC2003 is upregulated on Neu5Ac (PMID: 24814790)
Sialic acid utilization	NagA	NagA2	N-acetylglucosamine-6-phosphate deacetylase (EC 3.5.1.25)	d	NA	GlcNAc;ManNAc;Neu5Ac	N-acetylglucosamine utilization;N-acetylmannosamine utilization;N-acetylneuraminic acid utilization	downstream_catabolism	EC 3.5.1.25;CE9	NA	Converts N-acetylglucosamine-6-phosphate to D-glucosamine-6-phosphate	NagR	characterized	24814790	fig|326426.4.peg.1339	Bbr_1247	Gene in Bifidobacterium breve UCC2003 is upregulated on Neu5Ac. Knockout of the gene does not affect the growth of Bifidobacterium breve UCC2003 on Neu5Ac (PMID: 24814790)
Sialic acid utilization	NagB	NagB1	Glucosamine-6-phosphate deaminase (EC 3.5.99.6)	d	NA	GlcNAc;ManNAc;Neu5Ac	N-acetylglucosamine utilization;N-acetylmannosamine utilization;N-acetylneuraminic acid utilization	downstream_catabolism	EC 3.5.99.6	NA	Converts D-glucosamine-6-phosphate to D-fructose-6-phosphate	NanR	characterized	24814790	fig|326426.4.peg.182	Bbr_0169	Gene in Bifidobacterium breve UCC2003 is upregulated on Neu5Ac (PMID: 24814790)
Sialic acid utilization	NanB	NA	N-acetylneuraminate ABC transporter substrate-binding component (TC 3.A.1)	NA	NA	Neu5Ac	N-acetylneuraminic acid utilization	transporter	TC 3.A.1	ABC Superfamily	Transports N-acetylneuraminic acid	NanR	characterized	24814790	fig|326426.4.peg.177	Bbr_0164	Gene in Bifidobacterium breve UCC2003 is upregulated on Neu5Ac. Knockout of the gene abolishes the growth of Bifidobacterium breve UCC2003 on Neu5Ac (PMID: 24814790)
Sialic acid utilization	NanC	NA	N-acetylneuraminate ABC transporter permease component 1 (TC 3.A.1)	NA	NA	Neu5Ac	N-acetylneuraminic acid utilization	transporter	TC 3.A.1	ABC Superfamily	Transports N-acetylneuraminic acid	NanR	characterized	24814790	fig|326426.4.peg.178	Bbr_0165	Gene in Bifidobacterium breve UCC2003 is upregulated on Neu5Ac. Knockout of the gene abolishes the growth of Bifidobacterium breve UCC2003 on Neu5Ac (PMID: 24814790)
